N	r	c	alpha	beta	Pi_Em	Pi_Tm	Pi_F	Pi_P	Run_Time
101	2	0.9	40	1	3924.17036	3926.083996	3926.657724	3939.031436	787402999
101	2	1	40	1	3517.852598	3520.239945	3520.914312	3533.240811	842183376
101	2	1.1	40	1	3119.013568	3122.002323	3122.796033	3134.843339	896247384
101	2	1.2	40	1	2727.904448	2731.43435	2732.318897	2743.898046	396533011
101	2	1.3	40	1	2345.67541	2349.740772	2350.70334	2361.632546	992003794
101	2	1.4	40	1	1972.416121	1977.140006	1978.173437	1988.256822	1036966419
101	2	1.5	40	1	1607.874401	1613.15516	1614.222508	1623.299621	1072723844
101	2	1.6	40	1	1253.136018	1259.257982	1260.363796	1268.187776	1100409388
101	2	1.7	40	1	909.7526424	916.4207482	917.4800851	923.840562	1118111495
101	2	1.8	40	1	579.7585192	586.8913238	587.8426936	592.4891028	1118078042
101	2	0.2	20	0.5	7035.259849	7035.413045	7035.465835	7042.934454	281173349
101	2	0.3	20	0.5	6552.947805	6553.282495	6553.389608	6563.063532	367885953
101	2	0.4	20	0.5	6091.52771	6092.090341	6092.266744	6103.614902	447703711
101	2	0.5	20	0.5	5638.254452	5639.120315	5639.387687	5652.023597	523769377
101	2	0.6	20	0.5	5194.015127	5195.262745	5195.630837	5209.232992	595089376
101	2	0.7	20	0.5	4759.099122	4760.816559	4761.30582	4775.562864	662999130
101	2	0.8	20	0.5	4336.86812	4339.01862	4339.619432	4354.249425	726948262
101	2	0.9	20	0.5	3921.552942	3924.204025	3924.908334	3939.714291	786725138
101	2	1	20	0.5	3514.804561	3518.171134	3519.025215	3533.685259	841679906
101	2	1.1	20	0.5	3116.316545	3120.344672	3121.311403	3135.650397	895202134
101	2	1.2	20	0.5	2725.966148	2730.877544	2731.983839	2745.778494	944326345
101	2	1.3	20	0.5	2343.77582	2349.48094	2350.670584	2363.680002	991882152
101	2	1.4	20	0.5	1970.516031	1976.927232	1978.202895	1990.193174	1032709324
101	2	1.5	20	0.5	1605.449623	1612.921417	1614.279444	1625.056781	1069453371
101	2	1.6	20	0.5	1250.442485	1258.65357	1259.998902	1269.289914	1096961566
101	2	1.7	20	0.5	906.7279023	916.0250302	917.3479485	924.8870436	1113806822
101	2	1.8	20	0.5	576.3458382	586.4139882	587.5877798	593.0857048	1110452682
101	2	0.2	10	0.25	7030.549505	7030.780883	7030.841702	7039.950565	283030137
101	2	0.3	10	0.25	6554.767365	6555.247622	6555.376577	6567.125264	370449955
101	2	0.4	10	0.25	6085.679684	6086.559279	6086.781781	6100.576394	450984608
101	2	0.5	10	0.25	5635.636135	5636.899738	5637.224619	5652.570562	528182129
101	2	0.6	10	0.25	5193.145316	5194.97798	5195.43304	5211.885385	601098248
101	2	0.7	10	0.25	4762.243015	4764.730116	4765.33681	4782.545436	669687478
101	2	0.8	10	0.25	4336.91622	4340.099014	4340.850482	4358.508365	733411202
101	2	0.9	10	0.25	3918.615139	3922.564565	3923.46808	3941.2421	794110062
101	2	1	10	0.25	3514.808182	3519.502299	3520.550856	3538.192295	843452354
101	2	1.1	10	0.25	3115.572105	3121.286023	3122.484286	3139.71047	897564308
101	2	1.2	10	0.25	2722.860367	2729.789409	2731.15137	2747.627287	943831862
101	2	1.3	10	0.25	2341.064027	2349.079763	2350.592719	2366.128613	988849080
101	2	1.4	10	0.25	1966.038871	1975.016527	1976.599327	1990.901489	451878044
101	2	1.5	10	0.25	1602.242591	1612.717868	1614.399029	1627.190344	1571293554
101	2	1.6	10	0.25	1246.422321	1258.567534	1260.278815	1271.28821	1611860530
101	2	1.7	10	0.25	902.9340222	916.3196359	917.967548	926.8843496	1630512336
101	2	1.8	10	0.25	572.1714622	586.8958264	588.4077056	594.8846674	1623482303
101	2	0.2	5	0.125	7032.582947	7032.987061	7033.069181	7044.517955	281899839
101	2	0.3	5	0.125	6556.267668	6557.104739	6557.269822	6571.944373	369273673
101	2	0.4	5	0.125	6091.092885	6092.455122	6092.73495	6109.90081	449285634
101	2	0.5	5	0.125	5636.20258	5638.271422	5638.686676	5657.65666	524639477
101	2	0.6	5	0.125	5192.765499	5195.580885	5196.149809	5216.435018	596517460
101	2	0.7	5	0.125	4759.725357	4763.4674	4764.209429	4785.384649	664603596
101	2	0.8	5	0.125	4338.174696	4343.072884	4344.016294	4365.636554	728649627
101	2	0.9	5	0.125	3920.266431	3926.190529	3927.320947	3949.030038	790059414
101	2	1	5	0.125	3514.548783	3521.928621	3523.287201	3544.780471	843565106
101	2	1.1	5	0.125	3114.423534	3123.036744	3124.583714	3145.434987	900181493
101	2	1.2	5	0.125	2725.96991	2736.305965	2738.035851	2757.995356	948625007
101	2	1.3	5	0.125	2338.479772	2350.386092	2352.263998	2370.973667	985046791
101	2	1.4	5	0.125	1963.656935	1977.608746	1979.706025	1996.869766	1024928918
101	2	1.5	5	0.125	1597.620527	1613.148401	1615.334274	1630.611083	1060055914
101	2	1.6	5	0.125	1242.884282	1260.203773	1262.406996	1275.490664	1085162028
101	2	1.7	5	0.125	897.8118421	917.5789448	919.7754526	930.2956175	1094869482
101	2	1.8	5	0.125	565.9320914	588.110631	590.0923056	597.6798042	1079556745
101	2	0.2	2.5	0.0625	7036.001691	7036.715657	7036.816389	7051.711782	140216027
101	2	0.3	2.5	0.0625	6550.462561	6551.894583	6552.109372	6571.046871	194390390
101	2	0.4	2.5	0.0625	6094.440964	6096.855759	6097.218091	6119.136171	193174265
101	2	0.5	2.5	0.0625	5639.336363	5642.907087	5643.460525	5667.565684	225741697
101	2	0.6	2.5	0.0625	5197.270812	5202.02078	5202.780378	5228.39252	256861765
101	2	0.7	2.5	0.0625	4771.775389	4778.027806	4779.021542	4805.599132	285949764
101	2	0.8	2.5	0.0625	4338.220529	4346.064566	4347.318465	4374.264102	319621391
101	2	0.9	2.5	0.0625	3929.919498	3939.533251	3941.041265	3967.986006	337582979
101	2	1	2.5	0.0625	3519.001433	3530.495363	3532.26723	3558.721031	360525597
101	2	1.1	2.5	0.0625	3113.227306	3126.685416	3128.730271	3154.239464	368799188
101	2	1.2	2.5	0.0625	2725.726839	2741.7976	2744.143991	2768.41925	418488380
101	2	1.3	2.5	0.0625	2341.344161	2359.459222	2362.07385	2384.671965	983671188
101	2	1.4	2.5	0.0625	1964.166181	1984.882622	1987.64391	2008.233479	1023999243
101	2	1.5	2.5	0.0625	1595.234022	1618.575695	1621.517156	1639.698096	1052976078
101	2	1.6	2.5	0.0625	1238.014939	1264.376007	1267.440798	1282.870341	1072436230
101	2	1.7	2.5	0.0625	892.8027669	922.3233908	925.3545426	937.651236	1081011238
101	2	1.8	2.5	0.0625	558.1114744	591.2576666	594.0319316	602.7709304	1054174181
101	2	0.2	100	2	8825.851881	8825.93748	8825.96956	8831.673885	336494799
101	2	0.3	100	2	8237.379454	8237.555918	8237.619461	8245.013666	442907570
101	2	0.4	100	2	7663.964977	7664.290631	7664.400581	7673.133849	542555099
101	2	0.5	100	2	7105.191559	7105.689838	7105.854807	7115.584955	636264609
101	2	0.6	100	2	6556.573187	6557.309388	6557.538327	6568.070492	726318695
101	2	0.7	100	2	6019.509032	6020.49388	6020.792124	6031.840764	811631893
101	2	0.8	100	2	5493.327293	5494.601158	5494.971106	5506.363966	892748670
101	2	0.9	100	2	4974.611762	4976.232954	4976.687947	4988.187663	966769187
101	2	1	100	2	4467.712304	4469.686936	4470.210332	4481.686282	1538312849
101	2	1.1	100	2	3968.50421	3970.892986	3971.504201	3982.743449	1640996582
101	2	1.2	100	2	3478.042463	3480.950377	3481.63965	3492.470488	1738805559
101	2	1.3	100	2	2997.888292	3001.279861	3002.040011	3012.289785	502979197
101	2	1.4	100	2	2526.124506	2529.963272	2530.768094	2540.270713	3502782935
101	2	1.5	100	2	2065.622343	2070.034638	2070.867535	2079.403943	1341952162
101	2	1.6	100	2	1615.655731	1620.495617	1621.338418	1628.728841	1387231056
101	2	1.7	100	2	1178.705997	1184.053981	1184.88938	1190.928251	1417636873
101	2	1.8	100	2	756.976961	762.6355244	763.3759552	767.7973694	1429732930
101	2	0.2	50	1	8828.291002	8828.403181	8828.438269	8835.289296	337013344
101	2	0.3	50	1	8235.824489	8236.080039	8236.157879	8245.055251	443420151
101	2	0.4	50	1	7662.30779	7662.749885	7662.891206	7673.385743	542374107
101	2	0.5	50	1	7103.703336	7104.410011	7104.621797	7116.333417	637537500
101	2	0.6	50	1	6555.326337	6556.305943	6556.596918	6569.213799	726221655
101	2	0.7	50	1	6019.54797	6020.912831	6021.292178	6034.581803	812257078
101	2	0.8	50	1	5491.159628	5492.903624	5493.38366	5507.052491	892528153
101	2	0.9	50	1	4972.550126	4974.728001	4975.295365	4989.131997	965609172
101	2	1	50	1	4464.505516	4467.137362	4467.801794	4481.578464	2823072231
101	2	1.1	50	1	3966.542737	3969.814624	3970.59192	3984.068551	444588400
101	2	1.2	50	1	3475.986331	3479.867623	3480.727626	3493.712218	1171950851
101	2	1.3	50	1	2995.160625	2999.659809	3000.596485	3012.897193	527993096
101	2	1.4	50	1	2523.824094	2529.105527	2530.135723	2541.515557	1512620797
101	2	1.5	50	1	2063.157071	2069.190218	2070.260951	2080.486748	1409648689
101	2	1.6	50	1	1612.74051	1619.588418	1620.678008	1629.539013	1376099450
101	2	1.7	50	1	1175.65	1183.234366	1184.27692	1191.500317	1477414277
101	2	1.8	50	1	753.7694162	761.669148	762.5986506	767.893619	1503898183
101	2	0.2	25	0.5	8827.217582	8827.380889	8827.428897	8835.652386	336677632
101	2	0.3	25	0.5	8236.929202	8237.28422	8237.387867	8248.066086	443114646
101	2	0.4	25	0.5	7663.322652	7663.949057	7664.127518	7676.708479	542943290
101	2	0.5	25	0.5	7100.039961	7100.980324	7101.247011	7115.29513	635599506
101	2	0.6	25	0.5	6552.732837	6554.083564	6554.449887	6569.582218	725200401
101	2	0.7	25	0.5	6016.270007	6018.126991	6018.594424	6034.466889	811857258
101	2	0.8	25	0.5	5490.647248	5493.066285	5493.65791	5510.016172	892361056
101	2	0.9	25	0.5	4971.234742	4974.237354	4974.934263	4991.44441	966271778
101	2	1	25	0.5	4462.584591	4466.36661	4467.204677	4483.63018	1560139318
101	2	1.1	25	0.5	3964.476058	3968.907022	3969.857511	3985.943423	1663771288
101	2	1.2	25	0.5	3474.081685	3479.535957	3480.620221	3496.110354	1763615037
101	2	1.3	25	0.5	2993.300019	2999.560645	3000.740196	3015.365256	622162527
101	2	1.4	25	0.5	2520.824171	2528.172286	2529.449486	2542.988848	2388902768
101	2	1.5	25	0.5	2059.459887	2067.822122	2069.161691	2081.289742	1413478479
101	2	1.6	25	0.5	1609.204617	1618.526226	1619.859545	1630.384093	1422460825
101	2	1.7	25	0.5	1172.090923	1182.645517	1183.965228	1192.527672	1523196037
101	2	1.8	25	0.5	749.4796998	760.871695	762.0449928	768.3020508	1598868509
101	2	0.2	12.5	0.25	8827.965585	8828.221506	8828.283022	8838.341001	336259310
101	2	0.3	12.5	0.25	8236.62933	8237.187664	8237.312944	8250.300758	442640347
101	2	0.4	12.5	0.25	7661.334587	7662.253823	7662.470194	7677.743069	541084723
101	2	0.5	12.5	0.25	7098.16788	7099.581154	7099.905034	7116.930517	636083659
101	2	0.6	12.5	0.25	6553.857573	6555.879956	6556.333742	6574.636998	724635353
101	2	0.7	12.5	0.25	6013.314337	6015.969187	6016.557725	6035.73325	808355783
101	2	0.8	12.5	0.25	5489.283542	5492.734412	5493.455579	5513.179317	890847954
101	2	0.9	12.5	0.25	4968.657883	4973.119481	4974.02048	4993.917132	963077522
101	2	1	12.5	0.25	4457.481065	4462.691851	4463.709368	4483.477185	1534214126
101	2	1.1	12.5	0.25	3959.707186	3966.051881	3967.223227	3986.557245	1637854972
101	2	1.2	12.5	0.25	3469.890634	3477.397403	3478.72627	3497.276912	1733719592
101	2	1.3	12.5	0.25	2988.14349	2997.034562	2998.497415	3015.995325	1231151917
101	2	1.4	12.5	0.25	2517.449456	2527.737456	2529.315059	2545.465273	2398838196
101	2	1.5	12.5	0.25	2055.671316	2067.391598	2069.037279	2083.534133	1345288877
101	2	1.6	12.5	0.25	1604.497321	1618.060031	1619.773791	1632.280402	1381499574
101	2	1.7	12.5	0.25	1167.456779	1182.362523	1184.009807	1194.177308	1486719782
101	2	1.8	12.5	0.25	744.2766942	760.8519124	762.3268604	769.7265054	1432382200
101	2	0.2	6.25	0.125	8822.820712	8823.250165	8823.324316	8835.944454	131113080
101	2	0.3	6.25	0.125	8233.425198	8234.304515	8234.465753	8250.691234	173627661
101	2	0.4	6.25	0.125	7660.745653	7662.2338	7662.499958	7681.517008	211622817
101	2	0.5	6.25	0.125	7099.936166	7102.224156	7102.640116	7123.732771	248384899
101	2	0.6	6.25	0.125	6550.396569	6553.518791	6554.078311	6576.674051	283266562
101	2	0.7	6.25	0.125	6015.698606	6019.769334	6020.502745	6044.147129	317057830
101	2	0.8	6.25	0.125	5487.036691	5492.292406	5493.202215	5517.436082	348448555
101	2	0.9	6.25	0.125	4962.94867	4969.496589	4970.604331	4994.941712	380857534
101	2	1	6.25	0.125	4458.030518	4466.231203	4467.565918	4491.649824	414014315
101	2	1.1	6.25	0.125	3959.921993	3969.385954	3970.880911	3994.381753	445100803
101	2	1.2	6.25	0.125	3469.992115	3481.415096	3483.129338	3505.667324	508734710
101	2	1.3	6.25	0.125	2986.306723	2999.219302	3001.08159	3022.265803	489384947
101	2	1.4	6.25	0.125	2511.723282	2526.723898	2528.758554	2548.2047	533599215
101	2	1.5	6.25	0.125	2049.234573	2066.646544	2068.753828	2086.153236	1328062848
101	2	1.6	6.25	0.125	1600.193765	1619.637962	1621.800397	1636.747638	1366702912
101	2	1.7	6.25	0.125	1161.486923	1183.278392	1185.393672	1197.468845	1388841498
101	2	1.8	6.25	0.125	737.2565942	761.602439	763.5317204	772.270382	1380129289
101	2	0.2	3.125	0.0625	8826.291009	8827.055298	8827.154017	8843.559805	145316671
101	2	0.3	3.125	0.0625	8245.312893	8246.890129	8247.104561	8268.056869	190551418
101	2	0.4	3.125	0.0625	7662.637113	7665.186522	7665.53939	7689.878038	233498866
101	2	0.5	3.125	0.0625	7094.166834	7097.908752	7098.432894	7125.242513	273349835
101	2	0.6	3.125	0.0625	6551.366412	6556.599765	6557.354945	6585.937123	316766324
101	2	0.7	3.125	0.0625	6012.108623	6018.803054	6019.773968	6049.472153	348309317
101	2	0.8	3.125	0.0625	5489.877014	5498.44724	5499.649514	5529.936965	424243937
101	2	0.9	3.125	0.0625	4971.559294	4982.01179	4983.492048	5013.793866	422100523
101	2	1	3.125	0.0625	4459.286298	4471.845394	4473.561508	4503.40128	446281925
101	2	1.1	3.125	0.0625	3957.632028	3972.867498	3974.890279	4003.840941	476694066
101	2	1.2	3.125	0.0625	3461.747981	3479.087644	3481.356148	3508.903618	498607149
101	2	1.3	3.125	0.0625	2984.223286	3004.08733	3006.577705	3032.36541	474517200
101	2	1.4	3.125	0.0625	2510.259922	2533.124828	2535.823359	2559.397247	602741439
101	2	1.5	3.125	0.0625	2045.808934	2071.437438	2074.266077	2095.199503	1523509973
101	2	1.6	3.125	0.0625	1594.855678	1623.919437	1626.892676	1644.704864	1357606362
101	2	1.7	3.125	0.0625	1155.136398	1187.575821	1190.445867	1204.742584	1372192128
101	2	1.8	3.125	0.0625	727.983529	764.4573628	767.076324	777.2798528	1350919316
