n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	3.430122	0.160184	0.160184	0.160184	0.01101863847	0.001472164403	0.001472164403	0.001472164403	8.14508	1	1	1	0.02254136276	0	0	0
1	3.43069	2.8999325	0.9762405	0.505588	0.01100797714	0.01036649757	0.00532357599	0.003275349758	8.14508	7.339761	3.836037	2.490276	0.02254136276	0.02101258442	0.006451603706	0.002208246604
2	3.43295	3.130831	2.3767105	0.9936565	0.01103170969	0.01068228886	0.008920252243	0.003826125745	8.14508	7.729498	6.526181	3.341817	0.02254136276	0.02169498114	0.01720888032	0.004392438784
3	3.430994	3.221063	2.9065025	1.3931085	0.01101322251	0.01076385244	0.01021966106	0.005084948198	8.14508	7.813558	7.329445	4.480897	0.02254136276	0.02200640374	0.02073347726	0.007206422012
4	3.428044	3.266931	3.079125	1.770354	0.01100710293	0.01081357992	0.01057003492	0.005797899143	8.14508	7.892746	7.580906	5.196184	0.02254136276	0.02211942384	0.02158579968	0.009506378932
5	3.42692	3.2978185	3.163118	2.083356	0.01101018095	0.0108601025	0.01071083707	0.006376302311	8.14508	7.936805	7.697828	5.723672	0.02254136276	0.02221023188	0.02192412784	0.0113897849
6	3.428158	3.3177705	3.215001	2.3272605	0.01100929492	0.01088062943	0.0107909283	0.006910286598	8.14508	7.972353	7.767206	6.158873	0.02254136276	0.02225559568	0.02210762051	0.01291042817
7	3.433616	3.3380705	3.250598	2.523752	0.01101150463	0.01089648316	0.01083652418	0.007408708255	8.14508	8.001129	7.81248	6.49074	0.02254136276	0.02228934398	0.02222189645	0.01427202546
8	3.42616	3.3432025	3.2682355	2.6711455	0.01100557544	0.01090986826	0.0108639594	0.008086415706	8.14508	8.026933	7.844047	6.883059	0.02254136276	0.0223211725	0.02229778984	0.0160171004
9	3.42702	3.352269	3.2848185	2.807556	0.01100467417	0.01092534163	0.01089133484	0.008408396051	8.14508	8.042426	7.867085	7.021968	0.02254136276	0.0223377493	0.02234853596	0.01682029783
10	3.431426	3.363763	3.3030175	2.9112935	0.0110120137	0.01093065836	0.01090806777	0.008872437433	8.14508	8.040094	7.884423	7.278171	0.02254136276	0.02236558849	0.02239000503	0.01795548499
11	3.433136	3.370632	3.3140455	2.994756	0.0110217079	0.01095105342	0.01093259929	0.009134438791	8.14508	8.0591	7.898319	7.378124	0.02254136276	0.02236826825	0.02241995491	0.01847612327
12	3.429016	3.3735765	3.3202935	3.058343	0.01100961639	0.01094137282	0.0109293759	0.009455707301	8.14508	8.059833	7.909931	7.517734	0.02254136276	0.02238590861	0.0224461702	0.01929963765
13	3.431034	3.3781905	3.328092	3.113545	0.01101431243	0.0109527783	0.01094408467	0.009711878239	8.14508	8.061513	7.919124	7.603266	0.02254136276	0.02240186317	0.02246764564	0.01991791726
14	3.427958	3.3798125	3.331626	3.1535355	0.01101717491	0.01095754114	0.01095214519	0.009871354995	8.14508	8.073869	7.92722	7.640787	0.02254136276	0.02241212796	0.02248527109	0.02019986243
15	3.426994	3.38111	3.3352725	3.1900365	0.0110151356	0.01096046019	0.01095816304	0.01006776227	8.14508	8.078352	7.934029	7.711889	0.02254136276	0.02241402095	0.02250023783	0.0206605494
16	3.431334	3.38989	3.345335	3.221192	0.01100812735	0.0109568346	0.01095556048	0.01021274325	8.14508	8.077656	7.940074	7.761388	0.02254136276	0.02242914629	0.02251365642	0.0210057134
