r	c	alpha	beta	M	Q_B4m	Pi_B4m	Time_B4m
2	0.7	40	2	4	22	88.493678	261124
2	0.6	40	2	4	23	97.33941	308483
2	0.5	40	2	4	23	106.49584	339334
2	0.4	40	2	4	24	116.00742	419090
2	0.3	40	2	4	26	125.92625	546981
2	0.2	40	2	4	27	136.32902	694417
2	1.8	20	1	4	12	8.740748	45755
2	1.7	20	1	4	14	14.244027	65235
2	1.6	20	1	4	15	20.165107	85312
2	1.5	20	1	4	16	26.453683	107793
2	1.4	20	1	4	16	33.053701	112173
2	1.3	20	1	4	17	39.971867	144549
2	1.2	20	1	4	18	47.183096	174898
2	1.1	20	1	4	19	54.661583	206240
2	1	20	1	4	20	62.411974	242179
2	0.9	20	1	4	20	70.43005	250237
2	0.8	20	1	4	21	78.745784	313200
2	0.7	20	1	4	22	87.345799	368812
2	0.6	20	1	4	23	96.254495	448216
2	0.5	20	1	4	24	105.49471	528682
2	0.4	20	1	4	25	115.10526	649889
2	0.3	20	1	4	27	125.14442	834897
2	0.2	20	1	4	28	135.71823	1021188
2	1.8	10	0.5	4	11	8.118356	42523
2	1.7	10	0.5	4	12	13.373952	62771
2	1.6	10	0.5	4	13	19.104453	88993
2	1.5	10	0.5	4	14	25.241837	117484
2	1.4	10	0.5	4	15	31.724457	148849
2	1.3	10	0.5	4	16	38.53937	190945
2	1.2	10	0.5	4	17	45.678203	235118
2	1.1	10	0.5	4	18	53.100191	290091
2	1	10	0.5	4	19	60.831571	351471
2	0.9	10	0.5	4	20	68.851026	419972
2	0.8	10	0.5	4	21	77.171853	496661
2	0.7	10	0.5	4	22	85.806866	597956
2	0.6	10	0.5	4	23	94.778022	708049
2	0.5	10	0.5	4	25	104.13234	905996
2	0.4	10	0.5	4	26	113.8718	1071879
2	0.3	10	0.5	4	28	124.09303	1352315
2	0.2	10	0.5	4	30	134.89256	1765122
2	1.8	5	0.25	4	9	7.3290173	37246
2	1.7	5	0.25	4	10	12.297683	65276
2	1.6	5	0.25	4	11	17.763794	95637
2	1.5	5	0.25	4	13	23.77304	160677
2	1.4	5	0.25	4	14	30.084223	214169
2	1.3	5	0.25	4	15	36.751631	288246
2	1.2	5	0.25	4	16	43.753577	362597
2	1.1	5	0.25	4	17	51.081816	449836
2	1	5	0.25	4	19	58.803298	610935
2	0.9	5	0.25	4	20	66.790775	723201
2	0.8	5	0.25	4	21	75.10374	871780
2	0.7	5	0.25	4	22	83.761314	1042359
2	0.6	5	0.25	4	24	92.838595	1259528
2	0.5	5	0.25	4	26	102.29683	1583793
2	0.4	5	0.25	4	28	112.20311	2007469
2	0.3	5	0.25	4	30	122.63899	2538407
2	0.2	5	0.25	4	33	133.74056	3314411
2	1.8	2.5	0.125	4	6	6.2834315	22838
2	1.7	2.5	0.125	4	7	10.885675	49267
2	1.6	2.5	0.125	4	9	16.2028	106512
2	1.5	2.5	0.125	4	10	21.848831	167725
2	1.4	2.5	0.125	4	12	28.031531	293064
2	1.3	2.5	0.125	4	13	34.485065	398635
2	1.2	2.5	0.125	4	14	41.295424	513621
2	1.1	2.5	0.125	4	16	48.564027	727285
2	1	2.5	0.125	4	17	56.095867	926804
2	0.9	2.5	0.125	4	19	64.068807	1215004
2	0.8	2.5	0.125	4	21	72.39428	1564445
2	0.7	2.5	0.125	4	22	81.041485	1817710
2	0.6	2.5	0.125	4	25	90.207587	2321455
2	0.5	2.5	0.125	4	27	99.774883	2936730
2	0.4	2.5	0.125	4	30	109.8754	3944622
2	0.3	2.5	0.125	4	33	120.57978	5039653
2	0.2	2.5	0.125	4	38	132.07825	6794826
2	1.8	1.25	0.0625	4	3	4.7789196	8044
2	1.7	1.25	0.0625	4	4	8.984768	25462
2	1.6	1.25	0.0625	4	5	13.801743	60170
2	1.5	1.25	0.0625	4	7	19.472725	144944
2	1.4	1.25	0.0625	4	8	25.250539	239074
2	1.3	1.25	0.0625	4	10	31.704655	470263
2	1.2	1.25	0.0625	4	11	38.244258	660996
2	1.1	1.25	0.0625	4	13	45.371514	964969
2	1	1.25	0.0625	4	15	52.822518	1374463
2	0.9	1.25	0.0625	4	17	60.636972	1848750
2	0.8	1.25	0.0625	4	19	68.831589	2451258
2	0.7	1.25	0.0625	4	22	77.529611	3245961
2	0.6	1.25	0.0625	4	24	86.611027	3695235
2	0.5	1.25	0.0625	4	28	96.31382	5309978
2	0.4	1.25	0.0625	4	32	106.58905	7715507
2	0.3	1.25	0.0625	4	37	117.60469	10120360
2	0.2	1.25	0.0625	4	44	129.58126	13616690
2	1.8	60	2	4	22	15.577568	230045
2	1.7	60	2	4	23	24.696184	274431
2	1.6	60	2	4	24	34.322079	305169
2	1.5	60	2	4	25	44.367985	360077
2	1.4	60	2	4	26	54.797808	400399
2	1.3	60	2	4	27	65.585566	447092
2	1.2	60	2	4	28	76.700602	499964
2	1.1	60	2	4	29	88.132496	555007
2	1	60	2	4	30	99.877226	615272
2	0.9	60	2	4	31	111.93455	683891
2	0.8	60	2	4	31	124.31589	687722
2	0.7	60	2	4	32	137.03633	854250
2	0.6	60	2	4	33	150.1038	954004
2	0.5	60	2	4	34	163.54906	1120404
2	0.4	60	2	4	36	177.41179	1341252
2	0.3	60	2	4	37	191.76395	1564085
2	0.2	60	2	4	39	206.70049	1889564
2	1.8	30	1	4	20	14.954714	192542
2	1.7	30	1	4	22	23.874094	256879
2	1.6	30	1	4	23	33.319606	308470
2	1.5	30	1	4	25	43.245533	385290
2	1.4	30	1	4	26	53.558035	456792
2	1.3	30	1	4	27	64.245264	519854
2	1.2	30	1	4	28	75.292558	594146
2	1.1	30	1	4	29	86.675822	668067
2	1	30	1	4	30	98.400552	767652
2	0.9	30	1	4	30	110.43603	783082
2	0.8	30	1	4	31	122.85152	920013
2	0.7	30	1	4	33	135.63306	1111201
2	0.6	30	1	4	34	148.77214	1277933
2	0.5	30	1	4	35	162.31827	1455893
2	0.4	30	1	4	36	176.3051	1683303
2	0.3	30	1	4	38	190.82304	2090076
2	0.2	30	1	4	40	205.9733	2592789
2	1.8	15	0.5	4	19	14.163033	199010
2	1.7	15	0.5	4	20	22.774172	265130
2	1.6	15	0.5	4	22	32.020307	366581
2	1.5	15	0.5	4	23	41.73151	444916
2	1.4	15	0.5	4	24	51.867716	541963
2	1.3	15	0.5	4	26	62.471943	677207
2	1.2	15	0.5	4	27	73.415178	804178
2	1.1	15	0.5	4	28	84.742467	915010
2	1	15	0.5	4	29	96.424394	1050230
2	0.9	15	0.5	4	30	108.4715	1204871
2	0.8	15	0.5	4	32	120.92872	1405743
2	0.7	15	0.5	4	33	133.7436	1588194
2	0.6	15	0.5	4	34	146.96363	1824737
2	0.5	15	0.5	4	36	160.65153	2238774
2	0.4	15	0.5	4	38	174.8154	2733340
2	0.3	15	0.5	4	40	189.54828	3251487
2	0.2	15	0.5	4	43	204.983	4326235
2	1.8	7.5	0.25	4	16	13.11174	190693
2	1.7	7.5	0.25	4	18	21.394368	314074
2	1.6	7.5	0.25	4	20	30.330563	466968
2	1.5	7.5	0.25	4	21	39.768659	575349
2	1.4	7.5	0.25	4	23	49.75435	774978
2	1.3	7.5	0.25	4	24	60.130404	945377
2	1.2	7.5	0.25	4	26	70.984823	1194830
2	1.1	7.5	0.25	4	27	82.189694	1404208
2	1	7.5	0.25	4	29	93.851173	1696150
2	0.9	7.5	0.25	4	30	105.8718	1825000
2	0.8	7.5	0.25	4	32	118.33908	2227322
2	0.7	7.5	0.25	4	33	131.19778	2598150
2	0.6	7.5	0.25	4	35	144.54408	3133622
2	0.5	7.5	0.25	4	37	158.37488	3760193
2	0.4	7.5	0.25	4	40	172.76658	4667093
2	0.3	7.5	0.25	4	43	187.7869	5785246
2	0.2	7.5	0.25	4	46	203.5979	7241893
2	1.8	3.75	0.125	4	12	11.822461	149106
2	1.7	3.75	0.125	4	14	19.611621	297972
2	1.6	3.75	0.125	4	16	28.143295	491148
2	1.5	3.75	0.125	4	18	37.279606	730506
2	1.4	3.75	0.125	4	20	46.96898	1016883
2	1.3	3.75	0.125	4	22	57.139618	1379993
2	1.2	3.75	0.125	4	23	67.701093	1640268
2	1.1	3.75	0.125	4	25	78.80894	2076168
2	1	3.75	0.125	4	27	90.34997	2567545
2	0.9	3.75	0.125	4	29	102.35224	2812513
2	0.8	3.75	0.125	4	31	114.80236	3470200
2	0.7	3.75	0.125	4	34	127.77789	4574730
2	0.6	3.75	0.125	4	36	141.21	5444120
2	0.5	3.75	0.125	4	39	155.23682	7146792
2	0.4	3.75	0.125	4	42	169.8754	8649244
2	0.3	3.75	0.125	4	47	185.27973	11057619
2	0.2	3.75	0.125	4	52	201.59893	13790386
2	1.8	1.875	0.0625	4	7	9.9532514	67812
2	1.7	1.875	0.0625	4	9	17.216128	169942
2	1.6	1.875	0.0625	4	11	25.323457	374409
2	1.5	1.875	0.0625	4	13	34.088238	649671
2	1.4	1.875	0.0625	4	16	43.576251	1192461
2	1.3	1.875	0.0625	4	18	53.38543	1623764
2	1.2	1.875	0.0625	4	20	63.698294	2169438
2	1.1	1.875	0.0625	4	22	74.504204	2778146
2	1	1.875	0.0625	4	25	85.912979	3750955
2	0.9	1.875	0.0625	4	27	97.712414	4451461
2	0.8	1.875	0.0625	4	30	110.12158	5367809
2	0.7	1.875	0.0625	4	33	123.05591	7851864
2	0.6	1.875	0.0625	4	37	136.62565	9534452
2	0.5	1.875	0.0625	4	41	150.82824	12841861
2	0.4	1.875	0.0625	4	46	165.78259	16479382
2	0.3	1.875	0.0625	4	52	181.62749	20048024
2	0.2	1.875	0.0625	4	60	198.6117	26512719
2	1.8	80	2	4	30	22.177371	577148
2	1.7	80	2	4	32	34.84956	675978
2	1.6	80	2	4	33	48.102607	778527
2	1.5	80	2	4	35	61.865361	902911
2	1.4	80	2	4	36	76.059704	999080
2	1.3	80	2	4	37	90.660095	1099671
2	1.2	80	2	4	38	105.6522	1194431
2	1.1	80	2	4	39	121.0128	1338330
2	1	80	2	4	40	136.73183	1397225
2	0.9	80	2	4	41	152.82293	1563856
2	0.8	80	2	4	42	169.28614	1640960
2	0.7	80	2	4	43	186.13244	1812277
2	0.6	80	2	4	44	203.38067	2065516
2	0.5	80	2	4	45	221.0642	2374039
2	0.4	80	2	4	46	239.21831	2749725
2	0.3	80	2	4	48	257.93991	3051909
2	0.2	80	2	4	50	277.32845	3586900
2	1.8	40	1	4	29	21.459	491540
2	1.7	40	1	4	31	33.874753	653232
2	1.6	40	1	4	32	46.92258	753663
