r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	0.4	0.625	0.0625	39	20	48.18134467	575802	6867610	110508
2	0.3	0.625	0.0625	42	24	54.40025241	535696	6387080	105298
2	0.2	0.625	0.0625	47	29	61.30346891	560606	6681050	110025
2	1.8	40	2	15	13	9.086426775	11641	125800	4506
2	1.7	40	2	16	15	14.71960637	11634	127820	4610
2	1.6	40	2	17	16	20.77091476	11677	128330	4620
2	1.5	40	2	17	16	27.17519926	10978	118750	4322
2	1.4	40	2	18	17	33.89938683	10508	115210	4347
2	1.3	40	2	19	18	40.89900657	10879	119460	4413
2	1.2	40	2	19	19	48.15303538	11444	123640	4432
2	1.1	40	2	20	19	55.70380758	11308	123990	4455
2	1	40	2	21	20	63.49852766	11146	122410	4527
2	0.9	40	2	21	21	71.53330094	11894	128610	4550
2	0.8	40	2	22	21	79.85643089	11661	128010	4618
2	0.7	40	2	23	22	88.44049638	11429	125560	4529
2	0.6	40	2	24	23	97.30459132	12372	132910	4698
2	0.5	40	2	24	24	106.4764303	25339	277410	4701
2	0.4	40	2	25	25	115.9945406	11857	130130	4710
2	0.3	40	2	27	26	125.9179949	11799	129330	4698
2	0.2	40	2	28	27	136.32465	27519	300920	4778
2	1.8	20	1	15	13	8.432504923	26647	291050	8110
2	1.7	20	1	17	14	13.86777741	28619	312670	8145
2	1.6	20	1	18	15	19.76772439	27350	298510	8252
2	1.5	20	1	18	16	26.05944316	24817	270730	7735
2	1.4	20	1	19	17	32.6800244	26929	298010	8342
2	1.3	20	1	20	18	39.6111918	26839	292860	8356
2	1.2	20	1	20	18	46.84030691	25348	276650	7749
2	1.1	20	1	21	19	54.37043168	24354	265240	7676
2	1	20	1	22	20	62.16147435	24740	269890	7670
2	0.9	20	1	22	21	70.21820267	23601	259010	7649
2	0.8	20	1	23	22	78.56148377	25249	273520	7669
2	0.7	20	1	23	22	87.20126216	22832	250350	7172
2	0.6	20	1	24	23	96.14971483	22062	241440	7180
2	0.5	20	1	25	24	105.4205567	35755	390610	7231
2	0.4	20	1	26	25	115.0546223	21985	240970	7356
2	0.3	20	1	28	27	125.1204114	22367	242520	7447
2	0.2	20	1	29	28	135.7052689	23136	251080	7525
2	1.8	10	0.5	16	12	7.476922138	72597	795520	16397
2	1.7	10	0.5	18	13	12.61356573	76370	835440	17431
2	1.6	10	0.5	19	14	18.29652399	77938	850840	17720
2	1.5	10	0.5	20	16	24.42846129	80612	881480	17693
2	1.4	10	0.5	21	17	30.94177842	76578	835970	17498
2	1.3	10	0.5	22	18	37.79417915	74424	821510	17317
2	1.2	10	0.5	22	19	44.98205859	69012	754530	16311
2	1.1	10	0.5	23	19	52.48439919	66609	727990	15999
2	1	10	0.5	24	20	60.28800585	77446	845220	15759
2	0.9	10	0.5	24	21	68.38532322	60338	658720	14689
2	0.8	10	0.5	25	22	76.79532097	59712	653540	14640
2	0.7	10	0.5	26	23	85.5069501	59313	649300	14260
2	0.6	10	0.5	27	24	94.55707662	57114	622840	14119
2	0.5	10	0.5	27	25	103.9578376	48778	531760	12594
2	0.4	10	0.5	28	27	113.7589583	47704	523240	12564
2	0.3	10	0.5	30	28	124.0220535	47960	521430	12733
2	0.2	10	0.5	32	31	134.8615442	48587	532720	12853
2	1.8	5	0.25	18	10	6.172360571	221726	2423970	36121
2	1.7	5	0.25	20	12	10.90752276	221122	2418020	38759
2	1.6	5	0.25	22	14	16.28159075	234018	2558300	41132
2	1.5	5	0.25	23	15	22.18037483	251953	2755960	39448
2	1.4	5	0.25	24	16	28.53567485	270688	2960350	39136
2	1.3	5	0.25	25	17	35.28155425	217570	2379540	38831
2	1.2	5	0.25	26	18	42.39331302	230215	2518170	38010
2	1.1	5	0.25	27	19	49.86259641	227850	2490790	37386
2	1	5	0.25	27	20	57.67024058	181370	1983950	33281
2	0.9	5	0.25	28	22	65.82035662	233934	2557950	32654
2	0.8	5	0.25	29	23	74.30862915	191124	2087450	32054
2	0.7	5	0.25	30	24	83.13680179	172044	1887850	31102
2	0.6	5	0.25	31	25	92.3211386	150300	1642110	28929
2	0.5	5	0.25	32	27	101.9154876	139835	1526300	27081
2	0.4	5	0.25	33	29	111.942761	132618	1448870	25151
2	0.3	5	0.25	35	31	122.4835802	130380	1423420	24620
2	0.2	5	0.25	37	34	133.6688293	106950	1162800	23306
2	1.8	2.5	0.125	21	8	4.532647656	674122	7373310	85288
2	1.7	2.5	0.125	24	10	8.682358922	766667	8386460	96362
2	1.6	2.5	0.125	26	12	13.61249314	773186	8455410	99388
2	1.5	2.5	0.125	28	14	19.16357568	781001	8538600	104253
2	1.4	2.5	0.125	30	15	25.26499863	761958	8338600	103469
2	1.3	2.5	0.125	31	17	31.83125126	800086	8750380	102584
2	1.2	2.5	0.125	32	18	38.84480261	730387	7992290	101351
2	1.1	2.5	0.125	34	19	46.25284139	755649	8262620	99760
2	1	2.5	0.125	35	21	54.05754004	696851	7617050	97705
2	0.9	2.5	0.125	36	22	62.24898006	714425	7813020	92370
2	0.8	2.5	0.125	37	24	70.82164772	634790	6943050	86417
2	0.7	2.5	0.125	38	25	79.78006829	627007	6864240	83969
2	0.6	2.5	0.125	39	27	89.16346651	541540	5920910	75201
2	0.5	2.5	0.125	41	29	98.99229783	486187	5313380	72305
2	0.4	2.5	0.125	42	32	109.3241746	429799	4695330	63919
2	0.3	2.5	0.125	44	35	120.2416277	413636	4523350	58413
2	0.2	2.5	0.125	47	39	131.9057419	346592	3788250	51119
2	1.8	1.25	0.0625	26	6	2.712350648	2068830	22623320	218516
2	1.7	1.25	0.0625	31	8	6.075231934	2536080	27737480	267638
2	1.6	1.25	0.0625	35	10	10.358115	2880700	31500360	305236
2	1.5	1.25	0.0625	38	12	15.40892385	3126277	34214740	321321
2	1.4	1.25	0.0625	41	14	21.10585692	3281760	35894510	343448
