r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	1.6	50	1	48	42	60.20380633	196496	755820	27646
2	1.5	50	1	49	44	77.54143122	189055	731460	26213
2	1.4	50	1	50	45	95.4178751	208913	806250	25883
2	1.3	50	1	51	47	113.8062819	175624	677880	23889
2	1.2	50	1	52	48	132.6748798	228203	884230	24116
2	1.1	50	1	53	49	151.9809438	154783	592750	23344
2	1	50	1	53	50	171.7280099	122121	471980	20221
2	0.9	50	1	54	51	191.8984804	130001	499300	20136
2	0.8	50	1	55	53	212.5252232	132052	511830	20069
2	0.7	50	1	56	54	233.60699	133582	513470	19654
2	0.6	50	1	57	55	255.1524946	109483	420510	18779
2	0.5	50	1	59	57	277.2162631	125389	480800	19497
2	0.4	50	1	60	59	299.837102	104526	400940	18505
2	0.3	50	1	62	61	323.1177953	116803	452720	18821
2	0.2	50	1	64	63	347.1992708	97287	372640	18016
2	1.8	25	0.5	47	37	25.89781186	564940	2181110	60650
2	1.7	25	0.5	49	40	41.3618562	549083	2122420	61415
2	1.6	25	0.5	51	42	57.73155233	562422	2170460	58049
2	1.5	25	0.5	52	43	74.83163065	577452	2233330	58322
2	1.4	25	0.5	53	45	92.56052236	489612	1887610	55092
2	1.3	25	0.5	54	46	110.8372956	478504	1848190	51815
2	1.2	25	0.5	55	48	129.6515358	493662	1905620	50408
2	1.1	25	0.5	56	49	148.94992	397089	1532350	46887
2	1	25	0.5	57	51	168.727749	377649	1456110	45702
2	0.9	25	0.5	58	52	188.9865178	370913	1434780	42565
2	0.8	25	0.5	59	54	209.7093788	355369	1372830	41234
2	0.7	25	0.5	60	55	230.9354913	313578	1209480	38548
2	0.6	25	0.5	61	57	252.6705709	311806	1202540	35475
2	0.5	25	0.5	63	59	274.9544396	249891	961500	34938
2	0.4	25	0.5	64	61	297.8548015	243539	936430	32790
2	0.3	25	0.5	66	63	321.4598736	242480	934610	31312
2	0.2	25	0.5	68	67	345.9328253	219286	845750	30207
2	1.8	12.5	0.25	50	34	23.49404866	1690689	6535040	141876
2	1.7	12.5	0.25	54	38	38.31427382	1845834	7133740	146899
2	1.6	12.5	0.25	56	40	54.21919338	1688212	6520010	147709
2	1.5	12.5	0.25	58	42	70.9814939	1644961	6354020	141979
2	1.4	12.5	0.25	59	44	88.47556193	1622664	6271100	135817
2	1.3	12.5	0.25	61	46	106.6252878	1523142	5873380	132435
2	1.2	12.5	0.25	62	48	125.3598853	1505955	5820970	124729
2	1.1	12.5	0.25	63	50	144.655265	1302614	5026130	116238
2	1	12.5	0.25	64	52	164.4855986	1213932	4679690	108430
2	0.9	12.5	0.25	65	53	184.8513403	1151556	4447200	105210
2	0.8	12.5	0.25	66	55	205.7429306	1015953	3917820	94400
2	0.7	12.5	0.25	67	57	227.1731601	912264	3524190	87632
2	0.6	12.5	0.25	69	59	249.1695077	861129	3323210	84638
2	0.5	12.5	0.25	70	61	271.7718487	730060	2810670	75299
2	0.4	12.5	0.25	72	64	295.0560971	650519	2509720	69740
2	0.3	12.5	0.25	74	67	319.1162367	606415	2339470	64686
2	0.2	12.5	0.25	77	72	344.1484666	505528	1944090	58199
2	1.8	6.25	0.125	57	31	20.21166486	5363104	20782960	372044
2	1.7	6.25	0.125	61	35	34.08667352	5633845	21765490	385842
2	1.6	6.25	0.125	65	38	49.3070331	5838733	22490560	397176
2	1.5	6.25	0.125	67	41	65.57087102	5699434	22013090	388941
2	1.4	6.25	0.125	70	43	82.72626351	5806752	22441840	391910
2	1.3	6.25	0.125	71	46	100.646756	5477748	21155340	366775
2	1.2	6.25	0.125	73	48	119.270013	5142210	19870420	358300
2	1.1	6.25	0.125	75	50	138.5436697	4757808	18363660	339643
2	1	6.25	0.125	76	52	158.4309459	4524034	17554970	321850
2	0.9	6.25	0.125	78	55	178.9317174	4408659	17048880	302315
2	0.8	6.25	0.125	79	57	200.0358146	3873764	14958420	276261
2	0.7	6.25	0.125	81	60	221.7516157	3423205	13224310	258009
2	0.6	6.25	0.125	82	63	244.1112918	3085427	11911710	233408
2	0.5	6.25	0.125	84	66	267.1651672	2841132	10978900	214596
2	0.4	6.25	0.125	86	69	290.9822704	2396848	9253820	184723
2	0.3	6.25	0.125	89	74	315.6957331	2031727	7853370	161983
2	0.2	6.25	0.125	92	80	341.5208556	1547684	5973120	136311
2	1.8	3.125	0.0625	68	25	15.9626478	18846408	72860600	1049414
2	1.7	3.125	0.0625	76	30	28.4701068	21440461	82820540	1187007
2	1.6	3.125	0.0625	81	34	42.66113265	22680033	87556680	1262341
2	1.5	3.125	0.0625	85	38	58.17024009	23231953	89796550	1272400
2	1.4	3.125	0.0625	88	41	74.77217034	23272270	90022410	1273723
2	1.3	3.125	0.0625	91	44	92.31931373	23065577	89068080	1265306
2	1.2	3.125	0.0625	94	47	110.7159951	22609418	87408960	1249637
2	1.1	3.125	0.0625	96	50	129.8944457	21992242	84774730	1212174
2	1	3.125	0.0625	98	53	149.8157199	20613327	79754760	1148042
2	0.9	3.125	0.0625	101	57	170.4553461	20082395	77487050	1118844
2	0.8	3.125	0.0625	103	60	191.812337	18708116	72485630	1049106
2	0.7	3.125	0.0625	105	63	213.8952439	17272712	66770850	977120
2	0.6	3.125	0.0625	107	67	236.7364629	15675161	60773860	903207
2	0.5	3.125	0.0625	110	72	260.3904146	13724800	53081960	807892
2	0.4	3.125	0.0625	113	77	284.9568359	11764793	45500580	712005
2	0.3	3.125	0.0625	116	84	310.5839947	9445103	36650610	599666
2	0.2	3.125	0.0625	121	92	337.5503661	7238168	27984450	473323
