r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	0.2	40	2	27	136.3246499	921	11050	673
2	1.8	20	1	12	8.406511337	154	1850	224
2	1.7	20	1	14	13.844946	197	2360	259
2	1.6	20	1	15	19.76756481	253	3050	301
2	1.5	20	1	16	26.05863196	288	3450	332
2	1.4	20	1	16	32.63139737	312	3740	345
2	1.3	20	1	17	39.58483559	360	4280	375
2	1.2	20	1	18	46.83177768	386	4640	396
2	1.1	20	1	19	54.37037648	427	5110	429
2	1	20	1	20	62.16078696	483	5790	452
2	0.9	20	1	20	70.19450698	419	5030	452
2	0.8	20	1	21	78.55391523	439	5260	476
2	0.7	20	1	22	87.20101542	474	5680	512
2	0.6	20	1	23	96.14905807	569	6820	572
2	0.5	20	1	24	105.4198384	660	7920	619
2	0.4	20	1	25	115.0542338	778	9290	688
2	0.3	20	1	27	125.1203095	905	10860	766
2	0.2	20	1	28	135.7052673	1048	12550	848
2	1.8	10	0.5	11	7.448266664	113	1370	191
2	1.7	10	0.5	12	12.54943644	143	1710	224
2	1.6	10	0.5	13	18.14541299	174	2100	250
2	1.5	10	0.5	14	24.23424249	222	2670	293
2	1.4	10	0.5	15	30.78480694	267	3200	323
2	1.3	10	0.5	16	37.63657314	295	3550	350
2	1.2	10	0.5	17	44.83111313	346	4150	396
2	1.1	10	0.5	18	52.38377696	406	4880	425
2	1	10	0.5	19	60.18956953	457	5470	459
2	0.9	10	0.5	20	68.29419087	427	5130	486
2	0.8	10	0.5	21	76.73193873	475	5700	525
2	0.7	10	0.5	22	85.43681651	545	6550	586
2	0.6	10	0.5	23	94.4971784	618	7410	632
2	0.5	10	0.5	25	103.9488218	768	9230	743
2	0.4	10	0.5	26	113.7415206	877	10510	799
2	0.3	10	0.5	28	124.021192	1094	13070	928
2	0.2	10	0.5	30	134.857933	1394	16540	1126
2	1.8	5	0.25	9	6.048660196	68	810	138
2	1.7	5	0.25	10	10.65843861	96	1150	175
2	1.6	5	0.25	11	15.91165901	128	1550	208
2	1.5	5	0.25	13	21.89074515	177	2130	259
2	1.4	5	0.25	14	28.25754623	215	2590	291
2	1.3	5	0.25	15	34.92192109	264	3180	334
2	1.2	5	0.25	16	42.05882784	315	3790	364
2	1.1	5	0.25	17	49.54147758	376	4510	415
2	1	5	0.25	19	57.53275489	490	5880	479
2	0.9	5	0.25	20	65.6790735	468	5620	515
2	0.8	5	0.25	21	74.15747382	531	6350	557
2	0.7	5	0.25	22	82.93075592	605	7210	624
2	0.6	5	0.25	24	92.23718812	727	8720	711
2	0.5	5	0.25	26	101.8761254	932	10990	840
2	0.4	5	0.25	28	111.9262036	1185	13940	985
2	0.3	5	0.25	30	122.4606971	1434	16880	1139
2	0.2	5	0.25	33	133.6526638	1904	22110	1413
2	1.8	2.5	0.125	6	4.281991388	40	490	81
2	1.7	2.5	0.125	7	8.115816401	72	800	111
2	1.6	2.5	0.125	9	12.93286138	84	1020	156
2	1.5	2.5	0.125	10	18.28926425	114	1360	189
2	1.4	2.5	0.125	12	24.57042483	180	2060	243
2	1.3	2.5	0.125	13	31.04429571	219	2620	289
2	1.2	2.5	0.125	14	37.95981534	267	3210	320
2	1.1	2.5	0.125	16	45.64850868	354	4250	382
2	1	2.5	0.125	17	53.37179583	449	5380	436
2	0.9	2.5	0.125	19	61.76972291	578	6940	510
2	0.8	2.5	0.125	21	70.48075982	591	7080	585
2	0.7	2.5	0.125	22	79.38866529	715	8590	662
2	0.6	2.5	0.125	25	88.99343243	946	11270	826
2	0.5	2.5	0.125	27	98.85281176	1198	14030	967
2	0.4	2.5	0.125	30	109.2509782	1617	18950	1170
2	0.3	2.5	0.125	33	120.1823854	2419	28270	1447
2	0.2	2.5	0.125	38	131.8879989	3018	34400	1836
2	1.8	1.25	0.0625	3	2.321540829	21	260	34
2	1.7	1.25	0.0625	4	5.215246968	30	380	56
2	1.6	1.25	0.0625	5	8.935972401	45	540	80
2	1.5	1.25	0.0625	7	13.95327031	72	870	126
2	1.4	1.25	0.0625	8	19.19358409	97	1160	153
2	1.3	1.25	0.0625	10	25.80442723	164	1970	220
2	1.2	1.25	0.0625	11	32.28525671	205	2460	249
2	1.1	1.25	0.0625	13	39.89163852	299	3590	315
2	1	1.25	0.0625	15	47.75457158	411	4930	392
2	0.9	1.25	0.0625	17	56.17954935	570	6830	472
2	0.8	1.25	0.0625	19	64.95105675	640	7670	547
2	0.7	1.25	0.0625	22	74.45742904	908	10890	697
2	0.6	1.25	0.0625	24	84.00317194	1153	13700	817
2	0.5	1.25	0.0625	28	94.43155043	1611	19170	1052
2	0.4	1.25	0.0625	32	105.2864009	2306	26640	1338
2	0.3	1.25	0.0625	37	116.8005161	3260	37190	1733
2	0.2	1.25	0.0625	44	129.1890766	5023	57000	2365
2	1.8	60	2	22	15.39885315	661	7910	454
2	1.7	60	2	23	24.49326016	737	8840	486
2	1.6	60	2	24	34.10413113	769	9150	510
2	1.5	60	2	25	44.15350379	894	10730	575
2	1.4	60	2	26	54.59836413	986	11820	595
2	1.3	60	2	27	65.39636139	1060	12710	616
2	1.2	60	2	28	76.52709608	1093	13110	652
2	1.1	60	2	29	87.99026889	1199	14320	671
2	1	60	2	30	99.75739589	1329	15940	697
2	0.9	60	2	31	111.8414664	1166	13990	739
2	0.8	60	2	31	124.229771	1099	13140	716
2	0.7	60	2	32	136.9726022	1227	14710	788
2	0.6	60	2	33	150.0627435	1331	15820	830
2	0.5	60	2	34	163.5190978	1505	18050	861
2	0.4	60	2	36	177.3968913	1681	19970	941
2	0.3	60	2	37	191.7547885	1968	23280	1026
2	0.2	60	2	39	206.697033	2222	26300	1092
2	1.8	30	1	20	14.51249956	466	5600	421
2	1.7	30	1	22	23.37590488	575	6900	483
2	1.6	30	1	23	32.78993375	640	7670	540
2	1.5	30	1	25	42.72281945	747	8950	602
2	1.4	30	1	26	53.09030489	847	10180	647
2	1.3	30	1	27	63.81971408	914	10960	670
2	1.2	30	1	28	74.90509543	998	11970	734
2	1.1	30	1	29	86.32526589	1087	13040	759
2	1	30	1	30	98.12257529	1213	14470	793
2	0.9	30	1	30	110.172802	1012	12050	796
2	0.8	30	1	31	122.6381869	1048	12560	823
2	0.7	30	1	33	135.4921542	1178	13890	904
2	0.6	30	1	34	148.6658451	1364	16380	996
2	0.5	30	1	35	162.2428764	1510	18060	1043
2	0.4	30	1	36	176.2532031	1726	20580	1129
2	0.3	30	1	38	190.797236	2037	23800	1275
2	0.2	30	1	40	205.9618547	2403	27660	1438
2	1.8	15	0.5	19	13.27209382	357	4290	389
2	1.7	15	0.5	20	21.67121741	435	5230	429
2	1.6	15	0.5	22	30.86401965	533	6390	520
2	1.5	15	0.5	23	40.55812515	600	7190	556
2	1.4	15	0.5	24	50.68237041	691	8300	613
