r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	1.8	3.125	0.0625	18	14.84156264	325	3860	352
2	1.7	3.125	0.0625	22	26.85226597	538	6460	494
2	1.6	3.125	0.0625	25	40.44077879	765	9180	632
2	1.5	3.125	0.0625	29	55.8886886	1056	12670	798
2	1.4	3.125	0.0625	32	72.3505151	1391	16550	971
2	1.3	3.125	0.0625	35	89.96149273	1736	20800	1124
2	1.2	3.125	0.0625	38	108.4237578	2155	25450	1308
2	1.1	3.125	0.0625	41	127.5847968	2610	30710	1503
2	1	3.125	0.0625	45	148.0468649	3341	38070	1796
2	0.9	3.125	0.0625	48	168.9157235	3293	37350	2019
2	0.8	3.125	0.0625	52	190.6200162	4069	44690	2350
2	0.7	3.125	0.0625	56	212.9855585	5163	57270	2737
2	0.6	3.125	0.0625	60	235.9875249	6302	69980	3215
2	0.5	3.125	0.0625	66	259.9817853	8206	90210	3856
2	0.4	3.125	0.0625	72	284.7113974	10696	118210	4602
2	0.3	3.125	0.0625	79	310.4435634	14629	160310	5578
2	0.2	3.125	0.0625	89	337.4946162	20603	224690	7101
