r	c	alpha	beta	M	Q_A4m_bar	Q_A4m	Pi_A4m	Time_A4m	CPUTime_A4m	Comp_A4m
2	0.3	0.625	0.0625	4	21	21	55.1264679	1411	600	1880828
2	0.2	0.625	0.0625	4	26	26	61.71395143	379	60	3550102
2	1.8	40	2	4	13	13	9.229769678	219	1410	39565
2	1.7	40	2	4	14	14	14.88797121	28	100	54336
2	1.6	40	2	4	15	15	20.95725993	21	30	69780
2	1.5	40	2	4	16	16	27.37040915	24	20	83672
2	1.4	40	2	4	17	17	34.08312055	72	350	101372
2	1.3	40	2	4	18	18	41.06699613	29	30	120436
2	1.2	40	2	4	18	18	48.31874164	29	30	129774
2	1.1	40	2	4	19	19	55.84635355	42	110	147662
2	1	40	2	4	20	20	63.61469977	35	40	174627
2	0.9	40	2	4	20	20	71.63818006	60	210	194838
2	0.8	40	2	4	21	21	79.94273383	38	40	229306
2	0.7	40	2	4	22	22	88.50714424	46	80	253187
2	0.6	40	2	4	23	23	97.35182998	44	50	298344
2	0.5	40	2	4	23	23	106.5052056	46	60	326167
2	0.4	40	2	4	24	24	116.0142564	66	170	388453
2	0.3	40	2	4	26	26	125.9305618	86	280	491334
2	0.2	40	2	4	27	27	136.3314125	95	310	601050
2	1.8	20	1	4	12	12	8.758805963	14	20	43672
2	1.7	20	1	4	14	14	14.2687126	19	90	67475
2	1.6	20	1	4	15	15	20.20165202	21	20	94231
2	1.5	20	1	4	16	16	26.49067929	24	30	113749
2	1.4	20	1	4	16	16	33.09090837	23	30	129155
2	1.3	20	1	4	17	17	40.01819719	26	30	164900
2	1.2	20	1	4	18	18	47.22400692	29	30	194437
2	1.1	20	1	4	19	19	54.70048593	32	40	236140
2	1	20	1	4	20	20	62.44348108	35	40	279787
2	0.9	20	1	4	20	20	70.46245729	54	170	314388
2	0.8	20	1	4	21	21	78.77424715	38	40	371222
2	0.7	20	1	4	22	22	87.37322634	41	40	440964
2	0.6	20	1	4	23	23	96.27649034	44	50	534280
2	0.5	20	1	4	24	24	105.5120705	68	200	629390
2	0.4	20	1	4	25	25	115.1182593	57	90	759148
2	0.3	20	1	4	27	27	125.1524851	88	260	958945
2	0.2	20	1	4	28	28	135.7234591	63	70	1178294
2	1.8	10	0.5	4	11	11	8.1573255	13	20	40932
2	1.7	10	0.5	4	12	12	13.43084008	14	10	62102
2	1.6	10	0.5	4	13	13	19.17068968	17	60	87626
2	1.5	10	0.5	4	14	14	25.30633989	90	510	117771
2	1.4	10	0.5	4	15	15	31.80157492	28	70	155013
2	1.3	10	0.5	4	16	16	38.62103535	23	20	203056
2	1.2	10	0.5	4	17	17	45.75201923	26	30	255562
2	1.1	10	0.5	4	18	18	53.17786578	32	50	313385
2	1	10	0.5	4	19	19	60.89864437	32	30	391423
2	0.9	10	0.5	4	20	20	68.91386947	35	30	473859
2	0.8	10	0.5	4	21	21	77.23058615	38	40	577233
2	0.7	10	0.5	4	22	22	85.8609621	41	40	699978
2	0.6	10	0.5	4	23	23	94.82124664	89	350	843382
2	0.5	10	0.5	4	25	25	104.1657335	67	160	1104580
2	0.4	10	0.5	4	26	26	113.8983227	69	160	1335052
2	0.3	10	0.5	4	28	28	124.1098989	68	100	1742520
2	0.2	10	0.5	4	30	30	134.9020622	71	70	2272872
2	1.8	5	0.25	4	9	9	7.390964374	42	240	27367
2	1.7	5	0.25	4	10	10	12.3827067	11	10	45383
2	1.6	5	0.25	4	11	11	17.87200206	13	20	69483
2	1.5	5	0.25	4	13	13	23.89456936	17	20	125395
2	1.4	5	0.25	4	14	14	30.21339521	19	20	169955
2	1.3	5	0.25	4	15	15	36.88460129	50	220	224867
2	1.2	5	0.25	4	16	16	43.88793783	23	20	296808
2	1.1	5	0.25	4	17	17	51.21579908	27	30	375291
2	1	5	0.25	4	19	19	58.92158422	35	60	545412
2	0.9	5	0.25	4	20	20	66.89976216	117	620	673197
2	0.8	5	0.25	4	21	21	75.2083678	166	940	828802
2	0.7	5	0.25	4	22	22	83.85577871	73	260	1007490
2	0.6	5	0.25	4	24	24	92.91414967	63	150	1352816
2	0.5	5	0.25	4	26	26	102.3578241	55	70	1779234
2	0.4	5	0.25	4	28	28	112.2495569	94	270	2309210
2	0.3	5	0.25	4	30	30	122.6704922	86	180	2984575
2	0.2	5	0.25	4	33	33	133.7591277	111	260	4155356
2	1.8	2.5	0.125	4	6	6	6.356228511	12	50	9489
2	1.7	2.5	0.125	4	7	7	10.99584988	6	10	19914
2	1.6	2.5	0.125	4	9	9	16.34618774	9	10	45738
2	1.5	2.5	0.125	4	10	10	22.02010966	21	90	73280
2	1.4	2.5	0.125	4	12	12	28.22889442	88	520	135688
2	1.3	2.5	0.125	4	13	13	34.69903695	46	220	191597
2	1.2	2.5	0.125	4	14	14	41.5196789	19	20	261082
2	1.1	2.5	0.125	4	16	16	48.79458606	27	50	408768
2	1	2.5	0.125	4	17	17	56.31819383	49	190	527759
2	0.9	2.5	0.125	4	19	19	64.27557818	32	40	763008
2	0.8	2.5	0.125	4	21	21	72.57966076	69	250	1076469
2	0.7	2.5	0.125	4	22	22	81.21318656	70	240	1314507
2	0.6	2.5	0.125	4	25	25	90.34868216	118	510	1952548
2	0.5	2.5	0.125	4	27	27	99.89283445	72	140	2570201
2	0.4	2.5	0.125	4	30	30	109.9643354	109	320	3616283
2	0.3	2.5	0.125	4	33	33	120.6427108	123	340	4984047
2	0.2	2.5	0.125	4	38	38	132.114026	162	550	7776471
2	1.8	1.25	0.0625	4	3	3	4.843027041	10	60	1685
2	1.7	1.25	0.0625	4	4	4	9.113944188	35	250	5173
2	1.6	1.25	0.0625	4	5	5	13.97088705	26	170	11592
2	1.5	1.25	0.0625	4	7	7	19.68294254	27	190	31563
2	1.4	1.25	0.0625	4	8	8	25.4833155	49	340	52421
2	1.3	1.25	0.0625	4	10	10	31.96312363	40	210	110347
2	1.2	1.25	0.0625	4	11	11	38.53227378	12	20	161201
2	1.1	1.25	0.0625	4	13	13	45.68305806	44	220	276343
2	1	1.25	0.0625	4	15	15	53.15374472	38	120	445558
2	0.9	1.25	0.0625	4	17	17	60.97715025	26	30	678089
2	0.8	1.25	0.0625	4	19	19	69.17031771	34	50	988784
2	0.7	1.25	0.0625	4	22	22	77.84668756	46	80	1564986
2	0.6	1.25	0.0625	4	24	24	86.9025858	76	230	2123087
2	0.5	1.25	0.0625	4	28	28	96.56692975	89	250	3395457
2	0.4	1.25	0.0625	4	32	32	106.8002471	81	80	5166647
2	0.3	1.25	0.0625	4	37	37	117.768102	137	340	8091468
2	0.2	1.25	0.0625	4	44	44	129.6864826	189	480	13782357
2	1.8	60	2	4	22	22	15.59599096	521	560	197895
2	1.7	60	2	4	23	23	24.72592773	1421	640	244216
2	1.6	60	2	4	24	24	34.35205085	368	50	288563
2	1.5	60	2	4	25	25	44.40660659	1660	640	346312
2	1.4	60	2	4	26	26	54.84129661	2054	60	399201
2	1.3	60	2	4	27	27	65.62507685	419	60	455063
2	1.2	60	2	4	28	28	76.73855877	383	60	510871
2	1.1	60	2	4	29	29	88.16793911	309	70	566831
2	1	60	2	4	30	30	99.90840734	390	70	630427
2	0.9	60	2	4	31	31	111.9616932	475	80	731515
2	0.8	60	2	4	31	31	124.3428601	396	80	775024
2	0.7	60	2	4	32	32	137.059712	440	80	888671
2	0.6	60	2	4	33	33	150.1253399	486	90	1011749
2	0.5	60	2	4	34	34	163.564397	490	90	1105104
2	0.4	60	2	4	36	36	177.422285	3066	670	1308491
2	0.3	60	2	4	37	37	191.7710021	429	110	1528290
2	0.2	60	2	4	39	39	206.7035802	1365	120	1914484
2	1.8	30	1	4	20	20	14.99827558	274	40	220408
2	1.7	30	1	4	22	22	23.93623383	320	40	306238
2	1.6	30	1	4	23	23	33.38810431	364	50	380137
