r	c	alpha	beta	M	Q_A4m_bar	Q_A4m	Pi_A4m	Time_A4m	CPUTime_A4m	Comp_A4m
2	0.9	50	1	4	51	51	192.2859444	187	230	5317320
2	0.8	50	1	4	52	52	212.8346327	189	190	5767643
2	0.7	50	1	4	53	53	233.8333554	207	280	6283369
2	0.6	50	1	4	55	55	255.3355316	308	1180	7154956
2	0.5	50	1	4	56	56	277.3345074	220	220	7884278
2	0.4	50	1	4	58	58	299.9231943	236	270	8815082
2	0.3	50	1	4	60	60	323.1648373	266	410	10012899
2	0.2	50	1	4	63	63	347.2212349	302	560	11815715
2	1.8	25	0.5	4	35	35	27.20182612	97	170	1693710
2	1.7	25	0.5	4	37	37	42.85213325	101	100	2206145
2	1.6	25	0.5	4	40	40	59.31162292	116	110	2880808
2	1.5	25	0.5	4	41	41	76.37220799	122	130	3283805
2	1.4	25	0.5	4	43	43	94.03818218	146	250	3900020
2	1.3	25	0.5	4	45	45	112.2246202	163	300	4569510
2	1.2	25	0.5	4	46	46	130.8916976	153	160	5085359
2	1.1	25	0.5	4	48	48	150.0601814	175	270	5866027
2	1	25	0.5	4	49	49	169.6823704	171	180	6499665
2	0.9	25	0.5	4	51	51	189.7960508	311	470	7369567
2	0.8	25	0.5	4	52	52	210.3706678	192	200	8137600
2	0.7	25	0.5	4	54	54	231.4637187	207	220	9254528
2	0.6	25	0.5	4	56	56	253.0740488	233	340	10423605
2	0.5	25	0.5	4	58	58	275.2480985	241	320	11839650
2	0.4	25	0.5	4	60	60	298.0481256	251	250	13434293
2	0.3	25	0.5	4	63	63	321.5729349	278	290	15886107
2	0.2	25	0.5	4	66	66	345.9876239	509	2270	18978010
2	1.8	12.5	0.25	4	31	31	25.8680519	74	90	1476825
2	1.7	12.5	0.25	4	34	34	41.08164341	87	90	2135741
2	1.6	12.5	0.25	4	36	36	57.11218699	177	320	2724690
2	1.5	12.5	0.25	4	39	39	73.90816887	123	210	3605122
2	1.4	12.5	0.25	4	41	41	91.29599716	127	160	4396967
2	1.3	12.5	0.25	4	43	43	109.2631207	177	580	5225714
2	1.2	12.5	0.25	4	45	45	127.7777499	145	150	6180842
2	1.1	12.5	0.25	4	47	47	146.8222107	167	240	7284386
2	1	12.5	0.25	4	49	49	166.3859869	193	400	8433812
2	0.9	12.5	0.25	4	50	50	186.4405207	226	670	9336032
2	0.8	12.5	0.25	4	53	53	207.0885751	311	650	11226394
2	0.7	12.5	0.25	4	55	55	228.2551195	229	380	12844583
2	0.6	12.5	0.25	4	57	57	250.0035237	231	240	14683066
2	0.5	12.5	0.25	4	60	60	272.3907229	382	1210	17430820
2	0.4	12.5	0.25	4	63	63	295.473519	343	920	20612986
2	0.3	12.5	0.25	4	66	66	319.3665575	971	700	24504747
2	0.2	12.5	0.25	4	71	71	344.2699886	610	2050	31273293
2	1.8	6.25	0.125	4	25	25	24.15449702	99	480	895419
2	1.7	6.25	0.125	4	29	29	38.79552098	65	70	1577121
2	1.6	6.25	0.125	4	32	32	54.34157761	86	160	2299355
2	1.5	6.25	0.125	4	35	35	70.68430376	94	120	3192825
2	1.4	6.25	0.125	4	37	37	87.67362906	102	110	3994236
2	1.3	6.25	0.125	4	40	40	105.3672331	134	280	5217679
2	1.2	6.25	0.125	4	42	42	123.612715	130	130	6294467
2	1.1	6.25	0.125	4	45	45	142.4985014	222	910	7961407
2	1	6.25	0.125	4	47	47	161.919365	166	240	17094933
2	0.9	6.25	0.125	4	50	50	181.9638636	260	1000	11538315
2	0.8	6.25	0.125	4	53	53	202.597049	407	1610	15055568
2	0.7	6.25	0.125	4	56	56	223.8484675	328	940	16918723
2	0.6	6.25	0.125	4	59	59	245.7594895	288	630	21978104
2	0.5	6.25	0.125	4	62	62	268.3853794	1233	750	24170341
2	0.4	6.25	0.125	4	67	67	291.8394419	521	2390	30969517
2	0.3	6.25	0.125	4	72	72	316.2252501	576	2520	39422944
2	0.2	6.25	0.125	4	78	78	341.7824344	445	620	51827960
2	1.8	3.125	0.0625	4	18	18	21.92879686	134	670	351872
2	1.7	3.125	0.0625	4	22	22	35.86514013	70	210	759359
2	1.6	3.125	0.0625	4	25	25	50.74007356	88	270	1243318
2	1.5	3.125	0.0625	4	29	29	66.592024	98	290	2087924
2	1.4	3.125	0.0625	4	32	32	83.10498435	121	360	2981258
2	1.3	3.125	0.0625	4	35	35	100.325363	335	1770	4087195
2	1.2	3.125	0.0625	4	38	38	118.2203472	119	160	5448021
2	1.1	3.125	0.0625	4	41	41	136.7693589	158	340	7098403
2	1	3.125	0.0625	4	45	45	156.0295564	154	160	14403996
2	0.9	3.125	0.0625	4	48	48	175.8918955	179	230	12017466
2	0.8	3.125	0.0625	4	52	52	196.4776259	234	440	22606089
2	0.7	3.125	0.0625	4	56	56	217.7699455	230	240	22698870
2	0.6	3.125	0.0625	4	60	60	239.8247535	479	1780	25103415
2	0.5	3.125	0.0625	4	66	66	262.7587881	331	430	33912439
2	0.4	3.125	0.0625	4	72	72	286.6346704	753	3020	44880752
2	0.3	3.125	0.0625	4	79	79	311.6436323	829	3090	60508620
2	0.2	3.125	0.0625	4	89	89	338.0935561	638	1620	88709077
