r	c	alpha	beta	M	Q_A2	Pi_A2	Time_A2
2	0.7	20	1	2	22	87.323148	1362361
2	0.6	20	1	2	23	96.235754	1750139
2	0.5	20	1	2	24	105.48134	2381402
2	0.4	20	1	2	25	115.09582	3162817
2	0.3	20	1	2	27	125.13988	4632126
2	0.2	20	1	2	28	135.71623	6261972
2	1.8	10	0.5	2	11	8.0650387	46648
2	1.7	10	0.5	2	13	13.346596	138013
2	1.6	10	0.5	2	14	19.090148	224187
2	1.5	10	0.5	2	15	25.224818	315948
2	1.4	10	0.5	2	16	31.711565	455545
2	1.3	10	0.5	2	17	38.524299	650897
2	1.2	10	0.5	2	18	45.644422	905700
2	1.1	10	0.5	2	19	53.065461	1239689
2	1	10	0.5	2	20	60.784986	1690957
2	0.9	10	0.5	2	21	68.803833	2377742
2	0.8	10	0.5	2	22	77.131489	3100731
2	0.7	10	0.5	2	23	85.778868	3884731
2	0.6	10	0.5	2	24	94.764453	5046383
2	0.5	10	0.5	2	25	104.11265	5320934
2	0.4	10	0.5	2	26	113.85751	7285365
2	0.3	10	0.5	2	28	124.08454	11101526
2	0.2	10	0.5	2	30	134.88851	18411686
2	1.8	5	0.25	2	10	7.187767	87934
2	1.7	5	0.25	2	11	12.192924	157904
2	1.6	5	0.25	2	13	17.716623	366995
2	1.5	5	0.25	2	14	23.6753	540603
2	1.4	5	0.25	2	15	30.009816	726870
2	1.3	5	0.25	2	16	36.695984	1213594
2	1.2	5	0.25	2	17	43.718564	1717961
2	1.1	5	0.25	2	18	51.066662	2460350
2	1	5	0.25	2	19	58.738356	2651654
2	0.9	5	0.25	2	20	66.73325	3731738
2	0.8	5	0.25	2	22	75.075471	8036914
2	0.7	5	0.25	2	23	83.763318	9741269
2	0.6	5	0.25	2	25	92.809879	15729758
2	0.5	5	0.25	2	26	102.27686	16909209
2	0.4	5	0.25	2	28	112.19077	26579635
2	0.3	5	0.25	2	30	122.63108	44118903
2	0.2	5	0.25	2	34	133.7411	52914363
2	1.8	2.5	0.125	2	8	5.9847067	77282
2	1.7	2.5	0.125	2	10	10.655922	233471
2	1.6	2.5	0.125	2	11	15.902097	372892
2	1.5	2.5	0.125	2	12	21.614365	632330
2	1.4	2.5	0.125	2	14	27.759619	1152826
2	1.3	2.5	0.125	2	15	34.288639	1758812
2	1.2	2.5	0.125	2	16	41.179819	2679686
2	1.1	2.5	0.125	2	18	48.422876	4702230
2	1	2.5	0.125	2	19	56.03666	6462152
2	0.9	2.5	0.125	2	20	63.996566	7959104
2	0.8	2.5	0.125	2	22	72.333849	12275885
2	0.7	2.5	0.125	2	24	81.04611	24713212
2	0.6	2.5	0.125	2	26	90.180844	27987112
2	0.5	2.5	0.125	2	28	99.773066	37898261
2	0.4	2.5	0.125	2	30	109.87495	42802979
2	0.3	2.5	0.125	2	34	120.59241	107893489
2	0.2	2.5	0.125	2	38	132.08719	175204549
2	1.8	1.25	0.0625	2	6	4.4624738	61109
2	1.7	1.25	0.0625	2	8	8.6839801	217018
2	1.6	1.25	0.0625	2	9	13.557819	445567
2	1.5	1.25	0.0625	2	11	18.969637	1051619
2	1.4	1.25	0.0625	2	12	24.841922	1710596
2	1.3	1.25	0.0625	2	14	31.135465	3334135
2	1.2	1.25	0.0625	2	15	37.848866	5457247
2	1.1	1.25	0.0625	2	17	44.942701	8860799
2	1	1.25	0.0625	2	18	52.438475	11968496
2	0.9	1.25	0.0625	2	20	60.33151	19734071
2	0.8	1.25	0.0625	2	22	68.628451	32443919
2	0.7	1.25	0.0625	2	24	77.365882	43429491
2	0.6	1.25	0.0625	2	27	86.566891	84799517
2	0.5	1.25	0.0625	2	30	96.290852	141378115
2	0.4	1.25	0.0625	2	33	106.61187	203766677
2	0.3	1.25	0.0625	2	38	117.65966	152303985
2	0.2	1.25	0.0625	2	45	129.64957	252
2	1.8	60	2	2	22	15.563833	544338
2	1.7	60	2	2	23	24.679852	1386020
2	1.6	60	2	2	24	34.2976	987907
2	1.5	60	2	2	25	44.345435	901389
2	1.4	60	2	2	26	54.777409	1122203
2	1.3	60	2	2	27	65.561014	1450231
2	1.2	60	2	2	28	76.67661	1600284
2	1.1	60	2	2	29	88.111272	1857640
2	1	60	2	2	30	99.858243	2325838
2	0.9	60	2	2	31	111.91893	2753655
2	0.8	60	2	2	31	124.30237	3034001
2	0.7	60	2	2	32	137.02732	3661279
2	0.6	60	2	2	33	150.09922	4332937
2	0.5	60	2	2	34	163.54492	5190273
2	0.4	60	2	2	36	177.41067	6399544
2	0.3	60	2	2	37	191.7636	8013360
2	0.2	60	2	2	39	206.70024	10915721
2	1.8	30	1	2	21	14.950323	590808
2	1.7	30	1	2	22	23.852964	640561
2	1.6	30	1	2	24	33.297074	1204382
2	1.5	30	1	2	25	43.204796	1252999
2	1.4	30	1	2	26	53.518432	1630732
2	1.3	30	1	2	27	64.20692	2069238
2	1.2	30	1	2	28	75.251348	2511128
2	1.1	30	1	2	29	86.638925	3149198
2	1	30	1	2	30	98.367532	3904664
2	0.9	30	1	2	31	110.43256	5913329
2	0.8	30	1	2	32	122.84584	7233006
2	0.7	30	1	2	33	135.61571	7367652
2	0.6	30	1	2	34	148.76153	9132554
2	0.5	30	1	2	35	162.30994	11029021
2	0.4	30	1	2	36	176.29982	13091981
2	0.3	30	1	2	38	190.82182	5888881
2	0.2	30	1	2	40	205.97302	25892263
2	1.8	15	0.5	2	19	14.141207	400210
2	1.7	15	0.5	2	21	22.773665	934279
2	1.6	15	0.5	2	22	31.987022	1048128
2	1.5	15	0.5	2	24	41.70462	2023449
2	1.4	15	0.5	2	25	51.862258	2732360
2	1.3	15	0.5	2	26	62.426325	3041542
2	1.2	15	0.5	2	27	73.373633	4041582
2	1.1	15	0.5	2	28	84.695086	5378296
2	1	15	0.5	2	30	96.39264	8621219
2	0.9	15	0.5	2	31	108.45999	10785157
2	0.8	15	0.5	2	32	120.90019	11183805
2	0.7	15	0.5	2	33	133.72344	15635739
2	0.6	15	0.5	2	35	146.95808	22964201
2	0.5	15	0.5	2	36	160.63901	25902731
2	0.4	15	0.5	2	38	174.80855	37124295
2	0.3	15	0.5	2	40	189.54556	67106676
2	0.2	15	0.5	2	43	204.98249	101985220
2	1.8	7.5	0.25	2	17	13.057867	545651
2	1.7	7.5	0.25	2	19	21.352969	1060490
2	1.6	7.5	0.25	2	21	30.288066	1905806
2	1.5	7.5	0.25	2	22	39.768852	2985323
2	1.4	7.5	0.25	2	24	49.726512	4829333
2	1.3	7.5	0.25	2	25	60.131749	7328038
2	1.2	7.5	0.25	2	26	70.948641	7805601
2	1.1	7.5	0.25	2	28	82.189621	14438044
2	1	7.5	0.25	2	29	93.823802	14018197
2	0.9	7.5	0.25	2	31	105.86812	28547967
2	0.8	7.5	0.25	2	32	118.32233	24737580
2	0.7	7.5	0.25	2	34	131.21098	53035632
2	0.6	7.5	0.25	2	36	144.54977	61610615
2	0.5	7.5	0.25	2	38	158.38287	108595949
2	0.4	7.5	0.25	2	40	172.76639	87650682
2	0.3	7.5	0.25	2	43	187.78853	131690644
2	0.2	7.5	0.25	2	47	203.60221	252846412
2	1.8	3.75	0.125	2	14	11.53875	366607
2	1.7	3.75	0.125	2	17	19.403133	1163582
2	1.6	3.75	0.125	2	19	27.982649	2277980
2	1.5	3.75	0.125	2	20	37.167563	2947098
2	1.4	3.75	0.125	2	22	46.881443	5541672
2	1.3	3.75	0.125	2	24	57.07656	8278518
2	1.2	3.75	0.125	2	25	67.738176	12306496
2	1.1	3.75	0.125	2	27	78.850678	18701672
2	1	3.75	0.125	2	29	90.403851	26079017
2	0.9	3.75	0.125	2	31	102.40372	42196216
2	0.8	3.75	0.125	2	33	114.86458	11746704
2	0.7	3.75	0.125	2	35	127.80684	72379160
2	0.6	3.75	0.125	2	37	141.26085	99021935
2	0.5	3.75	0.125	2	40	155.27488	159215185
2	0.4	3.75	0.125	2	43	169.91663	209906885
