r	c	alpha	beta	M	Q_B2m	Pi_B2m	Time_B2m
2	1.8	20	2	2	5	3.3518706	1667
2	1.7	20	2	2	6	5.7258992	2170
2	1.6	20	2	2	7	8.3529356	2641
2	1.5	20	2	2	7	11.183474	2228
2	1.4	20	2	2	8	14.26983	3542
2	1.3	20	2	2	8	17.52071	3571
2	1.2	20	2	2	9	20.975883	4712
2	1.1	20	2	2	9	24.604266	4210
2	1	20	2	2	10	28.411966	6494
2	0.9	20	2	2	10	32.411932	6084
2	0.8	20	2	2	11	36.592618	8823
2	0.7	20	2	2	11	40.962575	6505
2	0.6	20	2	2	12	45.549948	10950
2	0.5	20	2	2	12	50.341819	11543
2	0.4	20	2	2	13	55.408497	15484
2	0.3	20	2	2	14	60.753063	20305
2	0.2	20	2	2	15	66.455019	28164
2	1.8	10	1	2	5	3.0341112	1272
2	1.7	10	1	2	5	5.2415347	1496
2	1.6	10	1	2	6	7.7999301	2334
2	1.5	10	1	2	7	10.583454	2860
2	1.4	10	1	2	7	13.548179	2914
2	1.3	10	1	2	8	16.7731	4388
2	1.2	10	1	2	8	20.140733	3396
2	1.1	10	1	2	9	23.780674	6030
2	1	10	1	2	10	27.566213	7456
2	0.9	10	1	2	10	31.548397	6402
2	0.8	10	1	2	11	35.739689	10387
2	0.7	10	1	2	11	40.121651	7664
2	0.6	10	1	2	12	44.749145	13853
2	0.5	10	1	2	13	49.606865	18310
2	0.4	10	1	2	14	54.72942	24127
2	0.3	10	1	2	15	60.168298	32686
2	0.2	10	1	2	16	65.999402	44119
2	1.8	5	0.5	2	4	2.5726597	821
2	1.7	5	0.5	2	5	4.679024	1344
2	1.6	5	0.5	2	5	7.039269	1581
2	1.5	5	0.5	2	6	9.7343025	2324
2	1.4	5	0.5	2	7	12.664784	3478
2	1.3	5	0.5	2	7	15.74436	3026
2	1.2	5	0.5	2	8	19.135189	5597
2	1.1	5	0.5	2	9	22.69462	7642
2	1	5	0.5	2	9	26.43401	5854
2	0.9	5	0.5	2	10	30.43146	10450
2	0.8	5	0.5	2	11	34.630387	13891
2	0.7	5	0.5	2	11	39.010006	13683
2	0.6	5	0.5	2	12	43.688967	21354
2	0.5	5	0.5	2	13	48.608218	26541
2	0.4	5	0.5	2	14	53.823886	36765
2	0.3	5	0.5	2	16	59.391333	56094
2	0.2	5	0.5	2	17	65.376079	77407
2	1.8	2.5	0.25	2	2	1.8510628	366
2	1.7	2.5	0.25	2	3	3.7114607	713
2	1.6	2.5	0.25	2	4	6.0483572	1224
2	1.5	2.5	0.25	2	5	8.6617016	2016
2	1.4	2.5	0.25	2	6	11.50444	3196
2	1.3	2.5	0.25	2	6	14.453953	3572
2	1.2	2.5	0.25	2	7	17.786066	5760
2	1.1	2.5	0.25	2	8	21.330054	8099
2	1	2.5	0.25	2	9	25.058953	11295
2	0.9	2.5	0.25	2	9	28.941106	12062
