r	c	alpha	beta	M	Q_B2	Pi_B2	Time_B2
2	1.8	20	2	2	5	3.3518706	5499
2	1.7	20	2	2	6	5.7258992	6460
2	1.6	20	2	2	7	8.3529356	8809
2	1.5	20	2	2	7	11.187893	9612
2	1.4	20	2	2	8	14.269874	11385
2	1.3	20	2	2	8	17.521482	10654
2	1.2	20	2	2	9	20.976717	15762
2	1.1	20	2	2	9	24.604266	13801
2	1	20	2	2	10	28.412271	21164
2	0.9	20	2	2	10	32.412737	18549
2	0.8	20	2	2	11	36.592618	26990
2	0.7	20	2	2	11	40.962575	26843
2	0.6	20	2	2	12	45.54995	36112
2	0.5	20	2	2	12	50.341824	37243
2	0.4	20	2	2	13	55.408502	55906
2	0.3	20	2	2	14	60.753076	70684
2	0.2	20	2	2	15	66.455019	106781
2	1.8	10	1	2	5	3.0341767	7456
2	1.7	10	1	2	6	5.2666517	9294
2	1.6	10	1	2	6	7.7999301	8882
2	1.5	10	1	2	7	10.583454	14533
2	1.4	10	1	2	8	13.559169	19244
2	1.3	10	1	2	8	16.775697	13689
2	1.2	10	1	2	9	20.16461	27342
2	1.1	10	1	2	9	23.780699	17802
2	1	10	1	2	10	27.566213	35992
2	0.9	10	1	2	10	31.548405	19195
2	0.8	10	1	2	11	35.739753	40164
2	0.7	10	1	2	11	40.122487	44753
2	0.6	10	1	2	12	44.749272	67016
2	0.5	10	1	2	13	49.606966	69051
2	0.4	10	1	2	14	54.729467	111718
2	0.3	10	1	2	15	60.168336	134026
2	0.2	10	1	2	16	65.999578	185618
2	1.8	5	0.5	2	4	2.5843252	5843
2	1.7	5	0.5	2	5	4.6839704	7062
2	1.6	5	0.5	2	6	7.0969562	15932
2	1.5	5	0.5	2	7	9.7536207	18952
2	1.4	5	0.5	2	7	12.668447	16246
2	1.3	5	0.5	2	8	15.79537	31100
2	1.2	5	0.5	2	8	19.138206	21099
2	1.1	5	0.5	2	9	22.697783	41664
2	1	5	0.5	2	10	26.450783	65241
2	0.9	5	0.5	2	10	30.432385	38195
2	0.8	5	0.5	2	11	34.630407	70006
2	0.7	5	0.5	2	12	39.037637	115896
2	0.6	5	0.5	2	12	43.689301	86421
2	0.5	5	0.5	2	13	48.610902	128057
2	0.4	5	0.5	2	14	53.824971	181127
2	0.3	5	0.5	2	16	59.391354	303129
2	0.2	5	0.5	2	18	65.377439	617029
2	1.8	2.5	0.25	2	4	2.0069992	10459
2	1.7	2.5	0.25	2	4	3.9247862	9972
2	1.6	2.5	0.25	2	5	6.1890801	18459
2	1.5	2.5	0.25	2	6	8.7436795	27393
2	1.4	2.5	0.25	2	7	11.526649	36108
2	1.3	2.5	0.25	2	7	14.583626	34176
2	1.2	2.5	0.25	2	8	17.854709	56923
2	1.1	2.5	0.25	2	9	21.347515	86785
2	1	2.5	0.25	2	9	25.061745	67352
2	0.9	2.5	0.25	2	10	29.029114	118909
2	0.8	2.5	0.25	2	11	33.213344	161710
2	0.7	2.5	0.25	2	12	37.645035	253971
2	0.6	2.5	0.25	2	13	42.338596	331351
2	0.5	2.5	0.25	2	14	47.326212	262189
2	0.4	2.5	0.25	2	16	52.629474	759682
2	0.3	2.5	0.25	2	17	58.335246	589606
2	0.2	2.5	0.25	2	20	64.52955	1319889
2	1.8	1.25	0.125	2	3	1.3273068	8300
2	1.7	1.25	0.125	2	4	3.0196772	18819
2	1.6	1.25	0.125	2	4	5.0989626	22162
2	1.5	1.25	0.125	2	5	7.5076917	36982
2	1.4	1.25	0.125	2	6	10.172855	64744
2	1.3	1.25	0.125	2	7	13.085111	96035
2	1.2	1.25	0.125	2	7	16.264686	97758
2	1.1	1.25	0.125	2	8	19.686349	175769
2	1	1.25	0.125	2	9	23.352882	250526
2	0.9	1.25	0.125	2	10	27.254657	356096
2	0.8	1.25	0.125	2	11	31.423851	397784
2	0.7	1.25	0.125	2	12	35.841259	504439
2	0.6	1.25	0.125	2	13	40.565602	726030
2	0.5	1.25	0.125	2	15	45.612621	1114620
2	0.4	1.25	0.125	2	17	51.025239	1729885
2	0.3	1.25	0.125	2	19	56.876429	1700373
2	0.2	1.25	0.125	2	23	63.307254	2409940
2	1.8	0.625	0.0625	2	2	0.62373479	7660
2	1.7	0.625	0.0625	2	3	2.048045	22284
2	1.6	0.625	0.0625	2	3	3.9373518	32336
2	1.5	0.625	0.0625	2	4	6.1420441	69557
2	1.4	0.625	0.0625	2	5	8.6432815	124881
2	1.3	0.625	0.0625	2	6	11.409432	196499
2	1.2	0.625	0.0625	2	6	14.433337	229771
2	1.1	0.625	0.0625	2	7	17.725607	417541
2	1	0.625	0.0625	2	8	21.263951	530432
2	0.9	0.625	0.0625	2	9	25.054791	1131552
2	0.8	0.625	0.0625	2	11	29.151518	2048296
2	0.7	0.625	0.0625	2	12	33.544705	2645881
2	0.6	0.625	0.0625	2	14	38.24392	3187105
2	0.5	0.625	0.0625	2	16	43.302305	7346293
2	0.4	0.625	0.0625	2	18	48.781907	12776519
2	0.3	0.625	0.0625	2	22	54.773372	17781019
2	0.2	0.625	0.0625	2	27	61.449993	28302626
2	1.8	40	2	2	13	9.1783936	52723
2	1.7	40	2	2	15	14.808429	87962
2	1.6	40	2	2	15	20.855123	66802
2	1.5	40	2	2	16	27.250691	68929
2	1.4	40	2	2	17	33.959973	91875
2	1.3	40	2	2	18	40.943747	86199
2	1.2	40	2	2	18	48.197794	80137
2	1.1	40	2	2	19	55.738332	120748
2	1	40	2	2	20	63.521589	120272
2	0.9	40	2	2	20	71.549626	103360
2	0.8	40	2	2	21	79.868168	168275
2	0.7	40	2	2	22	88.447268	183013
2	0.6	40	2	2	23	97.308131	192798
2	0.5	40	2	2	24	106.47838	312175
2	0.4	40	2	2	25	115.9956	364120
2	0.3	40	2	2	26	125.91841	351730
