r	c	alpha	beta	Q_T	Pi_T	Time_T	CPUTime_T	Comp_T
2	0.4	25	0.5	60	298.0860577	400758	4650080	1063469
2	0.3	25	0.5	63	321.5960611	427348	4967540	1126840
2	0.2	25	0.5	66	345.9995346	461267	5394520	1193954
2	1.8	12.5	0.25	32	26.03972616	385719	3896720	957690
2	1.7	12.5	0.25	35	41.28493146	440846	4610450	1077221
2	1.6	12.5	0.25	37	57.36104595	512492	5199280	1168899
2	1.5	12.5	0.25	39	74.13008149	521276	5813870	1245054
2	1.4	12.5	0.25	41	91.52020389	554014	6305030	1327471
2	1.3	12.5	0.25	43	109.4839801	597568	6768980	1409563
2	1.2	12.5	0.25	45	127.9897541	660503	7360220	1496490
2	1.1	12.5	0.25	47	147.0199597	711041	7786540	1580173
2	1	12.5	0.25	49	166.5670844	754890	8467690	1657893
2	0.9	12.5	0.25	51	186.633691	832115	9046930	1740759
2	0.8	12.5	0.25	53	207.2306208	871732	9750940	1816828
2	0.7	12.5	0.25	55	228.3775922	951406	10645780	1915187
2	0.6	12.5	0.25	57	250.1041053	1033522	11369770	2014354
2	0.5	12.5	0.25	60	272.4666791	1098137	12416050	2137784
2	0.4	12.5	0.25	63	295.5279628	1264422	13760030	2275502
2	0.3	12.5	0.25	66	319.40223	1338101	15198340	2416503
2	0.2	12.5	0.25	71	344.2877802	1553822	17627240	2627752
2	1.8	6.25	0.125	27	24.45652311	1275825	9752000	1799403
2	1.7	6.25	0.125	30	39.12118646	1635016	12769150	2084102
2	1.6	6.25	0.125	33	54.69508436	1977123	15091050	2339499
2	1.5	6.25	0.125	36	71.0329283	2123244	17998900	2588393
2	1.4	6.25	0.125	38	88.05044273	2385711	20577220	2806936
2	1.3	6.25	0.125	41	105.7020425	2880092	24070120	3076509
2	1.2	6.25	0.125	43	123.9538156	3078659	26963990	3280594
2	1.1	6.25	0.125	46	142.7862923	3383385	30453630	3533253
2	1	6.25	0.125	48	162.2041873	3518562	33482120	3709881
2	0.9	6.25	0.125	51	182.1983911	3869045	38034240	3976376
2	0.8	6.25	0.125	53	202.79604	4198335	40612050	4103410
2	0.7	6.25	0.125	56	224.0157951	4482901	45001890	4355058
2	0.6	6.25	0.125	59	245.8964191	4878261	49818010	4589213
2	0.5	6.25	0.125	63	268.5007908	23157052	165797090	4960692
2	0.4	6.25	0.125	67	291.913801	21852534	161955140	5193146
2	0.3	6.25	0.125	72	316.273094	7169562	74634090	5644179
2	0.2	6.25	0.125	79	341.8083035	16786947	139332310	6636022
2	1.8	3.125	0.0625	21	22.56992185	14030187	57524540	3439091
2	1.7	3.125	0.0625	24	36.50868226	23121727	175785160	4080019
2	1.6	3.125	0.0625	28	51.42809779	31388865	248461770	4916437
2	1.5	3.125	0.0625	31	67.18256184	36470212	301179020	5361718
2	1.4	3.125	0.0625	34	83.68221602	22400102	140415360	5743493
2	1.3	3.125	0.0625	37	100.8777305	30378951	203713230	6223386
2	1.2	3.125	0.0625	40	118.7410309	34390528	242814720	6912978
2	1.1	3.125	0.0625	43	137.2588705	38347483	290193650	7525258
2	1	3.125	0.0625	46	156.4292591	42431657	340132470	7960807
2	0.9	3.125	0.0625	49	176.2603234	46984145	382583390	8509176
2	0.8	3.125	0.0625	53	196.7821433	50502410	423138310	9031847
2	0.7	3.125	0.0625	57	218.0233601	50507319	422164950	9814858
2	0.6	3.125	0.0625	61	240.0396512	35137023	336418250	10457288
2	0.5	3.125	0.0625	66	262.9058586	31151021	340958860	10654828
2	0.4	3.125	0.0625	72	286.7405428	39030052	398277340	11483877
2	0.3	3.125	0.0625	79	311.7150837	189883685	922418700	12422272
2	0.2	3.125	0.0625	89	338.1357022	18	190	16431357
