r	c	alpha	beta	M	Q_B2m	Pi_B2m	Time_B2m	CPUTime_B2m	Comp_B2m
2	1.8	20	2	2	5	3.3518708	183	1400	171
2	1.7	20	2	2	6	5.7258994	150	930	207
2	1.6	20	2	2	7	8.3529359	191	1230	249
2	1.5	20	2	2	7	11.183474	221	2640	242
2	1.4	20	2	2	8	14.26983	1515	6240	285
2	1.3	20	2	2	8	17.520711	279	1890	300
2	1.2	20	2	2	9	20.975883	335	4020	330
2	1.1	20	2	2	9	24.604267	347	4170	333
2	1	20	2	2	10	28.411967	442	5300	386
2	0.9	20	2	2	10	32.411933	450	5390	373
2	0.8	20	2	2	11	36.592619	548	6570	422
2	0.7	20	2	2	11	40.962576	537	6310	397
2	0.6	20	2	2	12	45.549949	655	7860	446
2	0.5	20	2	2	12	50.34182	729	8130	480
2	0.4	20	2	2	13	55.408497	884	10240	528
2	0.3	20	2	2	14	60.753064	4398	13530	588
2	0.2	20	2	2	15	66.455019	1356	13680	651
2	1.8	10	1	2	5	3.0341131	679	5260	158
2	1.7	10	1	2	5	5.241537	112	680	183
2	1.6	10	1	2	6	7.799933	208	2420	221
2	1.5	10	1	2	7	10.583458	198	2380	265
2	1.4	10	1	2	7	13.548184	224	2680	282
2	1.3	10	1	2	8	16.773105	283	3390	322
2	1.2	10	1	2	8	20.140739	4496	6830	324
2	1.1	10	1	2	9	23.78068	396	4730	376
2	1	10	1	2	9	27.519006	391	4690	371
2	0.9	10	1	2	10	31.548405	487	5840	419
2	0.8	10	1	2	11	35.739699	605	6850	470
2	0.7	10	1	2	11	40.121661	609	7300	455
2	0.6	10	1	2	12	44.749156	765	9170	515
2	0.5	10	1	2	13	49.606878	1004	10590	612
2	0.4	10	1	2	14	54.729433	1217	12670	679
2	0.3	10	1	2	15	60.168311	1545	15580	755
2	0.2	10	1	2	16	65.999416	2992	23960	875
2	1.8	5	0.5	2	4	2.5726765	67	800	117
2	1.7	5	0.5	2	5	4.6790481	153	1690	163
2	1.6	5	0.5	2	5	7.0392969	154	1760	180
2	1.5	5	0.5	2	6	9.7343394	150	1800	222
2	1.4	5	0.5	2	7	12.664831	208	2510	271
2	1.3	5	0.5	2	7	15.744413	230	2770	296
2	1.2	5	0.5	2	8	19.135253	311	3720	349
2	1.1	5	0.5	2	9	22.694698	3337	9200	402
2	1	5	0.5	2	9	26.434096	429	3360	411
2	0.9	5	0.5	2	10	30.431561	564	6770	463
2	0.8	5	0.5	2	11	34.630504	723	8660	521
2	0.7	5	0.5	2	11	39.010132	770	9230	525
2	0.6	5	0.5	2	12	43.689112	1043	12500	630
2	0.5	5	0.5	2	13	48.608382	1270	14750	694
2	0.4	5	0.5	2	14	53.82407	1697	18180	829
2	0.3	5	0.5	2	16	59.391546	6573	30150	994
2	0.2	5	0.5	2	17	65.376311	3357	34110	1165
2	1.8	2.5	0.25	2	2	1.8511383	35	430	48
2	1.7	2.5	0.25	2	3	3.7115909	202	2270	85
2	1.6	2.5	0.25	2	4	6.0485543	82	970	134
2	1.5	2.5	0.25	2	5	8.6619772	127	1530	187
2	1.4	2.5	0.25	2	6	11.504806	174	2100	238
2	1.3	2.5	0.25	2	6	14.454367	202	2420	257
2	1.2	2.5	0.25	2	7	17.78659	283	3390	325
2	1.1	2.5	0.25	2	8	21.3307	399	4800	387
2	1	2.5	0.25	2	9	25.059734	522	6250	443
2	0.9	2.5	0.25	2	9	28.941962	594	7120	458
2	0.8	2.5	0.25	2	10	33.152085	765	9190	514
2	0.7	2.5	0.25	2	11	37.596271	1957	15930	583
2	0.6	2.5	0.25	2	12	42.295289	1356	15600	696
2	0.5	2.5	0.25	2	14	47.327125	2041	22820	860
2	0.4	2.5	0.25	2	15	52.622627	2672	28760	994
2	0.3	2.5	0.25	2	17	58.337449	3988	41630	1259
2	0.2	2.5	0.25	2	19	64.52205	5953	62130	1554
2	1.8	1.25	0.125	2	1	0.97223346	37	420	22
2	1.7	1.25	0.125	2	2	2.694603	36	430	49
2	1.6	1.25	0.125	2	2	4.4433047	50	580	62
2	1.5	1.25	0.125	2	3	7.0026153	71	850	109
2	1.4	1.25	0.125	2	4	9.7923177	123	1440	154
2	1.3	1.25	0.125	2	5	12.87748	183	2210	219
2	1.2	1.25	0.125	2	5	15.82171	216	2590	241
2	1.1	1.25	0.125	2	6	19.346357	338	4070	309
2	1	1.25	0.125	2	7	23.069073	452	5410	369
2	0.9	1.25	0.125	2	8	27.032536	653	7840	444
2	0.8	1.25	0.125	2	10	31.378996	1072	12160	565
2	0.7	1.25	0.125	2	11	35.790433	1442	17160	652
2	0.6	1.25	0.125	2	12	40.494747	1933	21740	769
2	0.5	1.25	0.125	2	14	45.587547	5524	35420	971
2	0.4	1.25	0.125	2	16	51.015903	4397	46300	1202
2	0.3	1.25	0.125	2	19	56.889787	6992	73140	1557
2	0.2	1.25	0.125	2	23	63.328196	12542	131230	2193
2	1.8	0.625	0.0625	2	0	0	3	40	4
2	1.7	0.625	0.0625	2	0	0	4	40	4
2	1.6	0.625	0.0625	2	1	2.8289953	34	380	31
2	1.5	0.625	0.0625	2	1	4.5706258	42	470	43
2	1.4	0.625	0.0625	2	2	7.5757623	80	980	86
2	1.3	0.625	0.0625	2	3	10.678124	131	1570	140
2	1.2	0.625	0.0625	2	3	13.307571	162	1960	157
2	1.1	0.625	0.0625	2	4	16.823627	2096	6520	224
2	1	0.625	0.0625	2	5	20.554921	431	4110	302
2	0.9	0.625	0.0625	2	6	24.407198	656	7860	369
2	0.8	0.625	0.0625	2	8	28.823389	1159	13890	496
2	0.7	0.625	0.0625	2	9	33.157087	1639	18870	585
2	0.6	0.625	0.0625	2	11	38.053547	2802	30700	784
2	0.5	0.625	0.0625	2	14	43.267017	4581	48880	1064
2	0.4	0.625	0.0625	2	17	48.811871	12841	79150	1401
2	0.3	0.625	0.0625	2	21	54.845834	12225	128340	1905
2	0.2	0.625	0.0625	2	26	61.546759	21375	224440	2646
2	1.8	40	2	2	13	9.1783937	783	5370	496
2	1.7	40	2	2	14	14.795268	991	10640	573
2	1.6	40	2	2	15	20.854925	1172	11500	621
2	1.5	40	2	2	16	27.25068	1355	12840	684
2	1.4	40	2	2	17	33.959751	2131	16520	726
2	1.3	40	2	2	18	40.943704	1764	16460	784
2	1.2	40	2	2	18	48.197447	2747	19910	771
2	1.1	40	2	2	19	55.738243	2057	19940	812
2	1	40	2	2	20	63.521527	2335	21840	876
2	0.9	40	2	2	20	71.549625	2377	22980	846
2	0.8	40	2	2	21	79.868146	2683	23880	911
2	0.7	40	2	2	22	88.447226	3021	28130	959
2	0.6	40	2	2	23	97.307456	3491	32200	1043
2	0.5	40	2	2	23	106.4671	3733	33850	1070
2	0.4	40	2	2	24	115.99013	5857	43740	1135
2	0.3	40	2	2	26	125.91829	5242	48380	1272
2	0.2	40	2	2	27	136.32479	6429	59880	1427
2	1.8	20	1	2	12	8.657976	630	6580	483
2	1.7	20	1	2	14	14.114095	853	10050	561
2	1.6	20	1	2	15	20.000423	1056	11270	643
2	1.5	20	1	2	16	26.261389	1282	12630	719
2	1.4	20	1	2	16	32.832976	1864	16630	742
2	1.3	20	1	2	17	39.738102	1610	16220	807
2	1.2	20	1	2	18	46.977031	1998	19590	862
2	1.1	20	1	2	19	54.46749	3905	28000	935
2	1	20	1	2	20	62.236238	2499	22960	989
2	0.9	20	1	2	20	70.26046	3249	28800	993
2	0.8	20	1	2	21	78.603281	2946	25000	1049
2	0.7	20	1	2	22	87.231884	3385	31930	1124
2	0.6	20	1	2	23	96.165686	4113	39290	1258
2	0.5	20	1	2	24	105.43085	4816	44830	1364
2	0.4	20	1	2	25	115.05995	6076	57170	1511
2	0.3	20	1	2	27	125.12223	7189	70080	1682
2	0.2	20	1	2	28	135.70615	8749	82810	1861
2	1.8	10	0.5	2	11	7.9787546	1559	9500	429
2	1.7	10	0.5	2	12	13.17485	614	6920	493
2	1.6	10	0.5	2	13	18.853403	789	8200	560
2	1.5	10	0.5	2	14	24.931261	987	10050	650
2	1.4	10	0.5	2	15	31.402237	1215	12200	717
2	1.3	10	0.5	2	16	38.191533	1879	17430	784
2	1.2	10	0.5	2	17	45.322115	1860	19220	894
2	1.1	10	0.5	2	18	52.752562	2176	21250	960
2	1	10	0.5	2	19	60.496925	3052	29260	1045
2	0.9	10	0.5	2	20	68.545183	2929	25480	1109
2	0.8	10	0.5	2	21	76.904995	3509	34560	1201
2	0.7	10	0.5	2	22	85.577072	6774	44850	1336
2	0.6	10	0.5	2	23	94.586571	4868	45380	1432
2	0.5	10	0.5	2	25	103.99751	6527	63460	1690
2	0.4	10	0.5	2	26	113.77171	7616	75370	1814
2	0.3	10	0.5	2	28	124.0338	9959	99780	2100
2	0.2	10	0.5	2	30	134.86248	13914	140190	2538
2	1.8	5	0.25	2	9	7.0605048	309	3710	323
2	1.7	5	0.25	2	10	11.941733	444	5110	402
2	1.6	5	0.25	2	11	17.362512	596	7100	479
2	1.5	5	0.25	2	13	23.333645	871	10430	596
2	1.4	5	0.25	2	14	29.61366	1124	12430	671
2	1.3	5	0.25	2	15	36.257954	1417	13870	775
2	1.2	5	0.25	2	16	43.232291	1720	18580	841
2	1.1	5	0.25	2	17	50.583302	2194	21900	967
2	1	5	0.25	2	19	58.33124	2996	29560	1126
2	0.9	5	0.25	2	20	66.326731	3472	34450	1204
2	0.8	5	0.25	2	21	74.684009	4212	40960	1309
2	0.7	5	0.25	2	22	83.382682	5091	49830	1461
2	0.6	5	0.25	2	24	92.528958	6727	67450	1672
2	0.5	5	0.25	2	26	102.05512	8841	88330	1964
2	0.4	5	0.25	2	28	112.03155	11753	118210	2285
2	0.3	5	0.25	2	30	122.52163	15598	159180	2647
2	0.2	5	0.25	2	33	133.67789	22660	233550	3263
2	1.8	2.5	0.125	2	6	5.6810963	160	1920	189
2	1.7	2.5	0.125	2	7	10.125763	242	2890	261
2	1.6	2.5	0.125	2	9	15.423171	420	5040	371
2	1.5	2.5	0.125	2	10	21.007901	599	7180	456
2	1.4	2.5	0.125	2	12	27.226154	3683	15090	584
2	1.3	2.5	0.125	2	13	33.664525	1248	11890	690
2	1.2	2.5	0.125	2	14	40.463236	3674	19070	766
2	1.1	2.5	0.125	2	16	47.802703	3709	27930	912
2	1	2.5	0.125	2	17	55.365892	2911	29920	1045
2	0.9	2.5	0.125	2	19	63.42861	5067	44740	1230
2	0.8	2.5	0.125	2	21	71.825694	5481	55950	1411
2	0.7	2.5	0.125	2	22	80.519512	6888	69840	1580
2	0.6	2.5	0.125	2	25	89.787232	9889	100070	1972
