r	c	alpha	beta	M	Q_B4	Pi_B4	Time_B4
2	0.8	20	1	4	21	78.746125	1784347
2	0.7	20	1	4	22	87.346291	2088525
2	0.6	20	1	4	23	96.25472	2733706
2	0.5	20	1	4	24	105.49493	3080177
2	0.4	20	1	4	25	115.1055	3709343
2	0.3	20	1	4	27	125.1445	5836684
2	0.2	20	1	4	28	135.71823	6976436
2	1.8	10	0.5	4	11	8.1189677	474307
2	1.7	10	0.5	4	13	13.395225	913761
2	1.6	10	0.5	4	14	19.145845	1019292
2	1.5	10	0.5	4	15	25.281857	1532199
2	1.4	10	0.5	4	16	31.773119	1655187
2	1.3	10	0.5	4	17	38.583192	2093707
2	1.2	10	0.5	4	18	45.700671	2500814
2	1.1	10	0.5	4	19	53.121542	3108215
2	1	10	0.5	4	20	60.834866	3393538
2	0.9	10	0.5	4	20	68.85116	2317135
2	0.8	10	0.5	4	21	77.174564	3879609
2	0.7	10	0.5	4	23	85.812486	6930839
2	0.6	10	0.5	4	24	94.791983	9000481
2	0.5	10	0.5	4	25	104.13293	6592727
2	0.4	10	0.5	4	26	113.87202	7213655
2	0.3	10	0.5	4	28	124.09305	9470327
2	0.2	10	0.5	4	30	134.89256	16183384
2	1.8	5	0.25	4	9	7.3301415	461854
2	1.7	5	0.25	4	11	12.345204	1104783
2	1.6	5	0.25	4	12	17.849221	1717124
2	1.5	5	0.25	4	14	23.784713	2418605
2	1.4	5	0.25	4	15	30.113253	3713544
2	1.3	5	0.25	4	16	36.790093	3744783
2	1.2	5	0.25	4	17	43.803422	4603208
2	1.1	5	0.25	4	18	51.139687	7014707
2	1	5	0.25	4	19	58.804861	4578920
2	0.9	5	0.25	4	20	66.791301	7554364
2	0.8	5	0.25	4	22	75.118008	14611456
2	0.7	5	0.25	4	23	83.798691	12421733
2	0.6	5	0.25	4	24	92.839061	9922310
2	0.5	5	0.25	4	26	102.29759	12557101
2	0.4	5	0.25	4	28	112.20396	19220480
2	0.3	5	0.25	4	30	122.63917	27632294
2	0.2	5	0.25	4	34	133.74361	86361922
2	1.8	2.5	0.125	4	7	6.3860448	737682
2	1.7	2.5	0.125	4	9	11.081866	2096700
2	1.6	2.5	0.125	4	10	16.298441	2314808
2	1.5	2.5	0.125	4	12	21.986007	5125216
2	1.4	2.5	0.125	4	13	28.08411	5792021
2	1.3	2.5	0.125	4	14	34.558927	6690943
2	1.2	2.5	0.125	4	16	41.405522	13894294
2	1.1	2.5	0.125	4	17	48.612115	12176031
2	1	2.5	0.125	4	18	56.167737	15460918
2	0.9	2.5	0.125	4	20	64.105329	20476411
2	0.8	2.5	0.125	4	22	72.40254	29511252
2	0.7	2.5	0.125	4	23	81.09303	25641192
2	0.6	2.5	0.125	4	25	90.20789	24255167
2	0.5	2.5	0.125	4	28	99.783527	47298713
2	0.4	2.5	0.125	4	30	109.87578	44322830
2	0.3	2.5	0.125	4	34	120.58639	127963868
2	0.2	2.5	0.125	4	38	132.07843	161270689
2	1.8	1.25	0.0625	4	5	5.2536478	945499
2	1.7	1.25	0.0625	4	7	9.5795367	2994134
2	1.6	1.25	0.0625	4	8	14.476029	5014446
2	1.5	1.25	0.0625	4	10	19.87722	11715213
2	1.4	1.25	0.0625	4	11	25.716769	16233311
2	1.3	1.25	0.0625	4	12	31.945826	15011964
2	1.2	1.25	0.0625	4	14	38.57236	29626454
2	1.1	1.25	0.0625	4	15	45.568243	30265944
2	1	1.25	0.0625	4	17	52.955907	44809325
2	0.9	1.25	0.0625	4	19	60.736117	95091577
2	0.8	1.25	0.0625	4	21	68.92631	111223747
2	0.7	1.25	0.0625	4	23	77.565353	75771652
2	0.6	1.25	0.0625	4	26	86.680173	138469547
2	0.5	1.25	0.0625	4	29	96.333196	176605527
2	0.4	1.25	0.0625	4	33	106.602	201283819
2	0.3	1.25	0.0625	4	38	117.61373	263681486
2	0.2	1.25	0.0625	4	45	129.58742	600759600
2	1.8	60	2	4	22	15.57757	1202028
2	1.7	60	2	4	23	24.696189	1314884
2	1.6	60	2	4	24	34.322173	1388286
2	1.5	60	2	4	25	44.367991	1549507
2	1.4	60	2	4	26	54.798632	1791467
2	1.3	60	2	4	27	65.58561	1872592
2	1.2	60	2	4	28	76.700604	2110983
2	1.1	60	2	4	29	88.132542	2374410
2	1	60	2	4	30	99.877238	2559252
2	0.9	60	2	4	31	111.93457	2853759
2	0.8	60	2	4	31	124.31589	2650384
2	0.7	60	2	4	32	137.03688	3489946
2	0.6	60	2	4	33	150.10387	3949686
2	0.5	60	2	4	34	163.54918	5116869
2	0.4	60	2	4	36	177.41196	5799940
2	0.3	60	2	4	37	191.76396	7007644
2	0.2	60	2	4	39	206.70049	8576920
2	1.8	30	1	4	21	14.961703	1793630
2	1.7	30	1	4	22	23.874102	1524842
2	1.6	30	1	4	24	33.328414	2807165
2	1.5	30	1	4	25	43.245534	2106957
2	1.4	30	1	4	26	53.559397	2439888
2	1.3	30	1	4	27	64.245599	2682871
2	1.2	30	1	4	28	75.292676	3122825
2	1.1	30	1	4	29	86.675861	3426308
2	1	30	1	4	30	98.400556	3895157
2	0.9	30	1	4	31	110.46174	5989721
2	0.8	30	1	4	32	122.86581	6744640
2	0.7	30	1	4	33	135.63319	5838020
2	0.6	30	1	4	34	148.77229	7242370
2	0.5	30	1	4	35	162.31843	7730464
2	0.4	30	1	4	36	176.3052	8651789
2	0.3	30	1	4	38	190.82309	11110527
2	0.2	30	1	4	40	205.97337	15495876
2	1.8	15	0.5	4	19	14.163254	2014817
2	1.7	15	0.5	4	21	22.801268	6117701
2	1.6	15	0.5	4	22	32.020533	5156171
2	1.5	15	0.5	4	24	41.749789	9307160
2	1.4	15	0.5	4	25	51.906074	9896665
2	1.3	15	0.5	4	26	62.473064	6776687
2	1.2	15	0.5	4	27	73.418574	8537736
2	1.1	15	0.5	4	28	84.743107	9925975
2	1	15	0.5	4	30	96.4323	19119301
2	0.9	15	0.5	4	31	108.49582	16838415
2	0.8	15	0.5	4	32	120.92998	12976957
2	0.7	15	0.5	4	33	133.74642	18877330
2	0.6	15	0.5	4	35	146.97488	31770385
2	0.5	15	0.5	4	36	160.65175	25571435
2	0.4	15	0.5	4	38	174.81547	27123328
2	0.3	15	0.5	4	40	189.54829	44600029
2	0.2	15	0.5	4	43	204.983	62816550
2	1.8	7.5	0.25	4	17	13.126233	4580496
2	1.7	7.5	0.25	4	19	21.413149	6318729
2	1.6	7.5	0.25	4	21	30.335721	9718579
2	1.5	7.5	0.25	4	22	39.817728	12773528
2	1.4	7.5	0.25	4	24	49.769084	15352425
2	1.3	7.5	0.25	4	25	60.173314	14589301
2	1.2	7.5	0.25	4	26	70.985588	16489078
2	1.1	7.5	0.25	4	28	82.218964	29958382
2	1	7.5	0.25	4	29	93.85149	20641371
2	0.9	7.5	0.25	4	31	105.88978	30720050
2	0.8	7.5	0.25	4	32	118.34057	24265134
2	0.7	7.5	0.25	4	34	131.22407	45482519
2	0.6	7.5	0.25	4	36	144.55737	50927978
2	0.5	7.5	0.25	4	38	158.38667	66390473
2	0.4	7.5	0.25	4	40	172.76719	55170134
2	0.3	7.5	0.25	4	43	187.78696	94700072
2	0.2	7.5	0.25	4	47	203.60036	297212955
2	1.8	3.75	0.125	4	13	11.872733	3980509
2	1.7	3.75	0.125	4	16	19.705007	8897409
2	1.6	3.75	0.125	4	18	28.236519	13640163
2	1.5	3.75	0.125	4	20	37.369154	18629190
2	1.4	3.75	0.125	4	21	47.02939	17979684
2	1.3	3.75	0.125	4	23	57.191988	25083079
2	1.2	3.75	0.125	4	25	67.817038	39983638
2	1.1	3.75	0.125	4	27	78.89288	49737047
2	1	3.75	0.125	4	29	90.422272	50665080
2	0.9	3.75	0.125	4	30	102.40645	43941507
2	0.8	3.75	0.125	4	32	114.8538	54990535
2	0.7	3.75	0.125	4	35	127.78637	74048268
2	0.6	3.75	0.125	4	37	141.2359	90507721
2	0.5	3.75	0.125	4	40	155.2488	108726008
2	0.4	3.75	0.125	4	43	169.89235	343817587
2	0.3	3.75	0.125	4	47	185.2798	354206548
2	0.2	3.75	0.125	4	52	201.59909	337377984
2	1.8	1.875	0.0625	4	10	10.332227	6058564
2	1.7	1.875	0.0625	4	12	17.655918	13205729
2	1.6	1.875	0.0625	4	14	25.739952	22911863
2	1.5	1.875	0.0625	4	16	34.458059	30409026
2	1.4	1.875	0.0625	4	18	43.73424	40161954
2	1.3	1.875	0.0625	4	20	53.538613	59063076
2	1.2	1.875	0.0625	4	22	63.852238	121540094
2	1.1	1.875	0.0625	4	25	74.672076	184040876
2	1	1.875	0.0625	4	27	85.999226	177021265
2	0.9	1.875	0.0625	4	29	97.832535	164627319
2	0.8	1.875	0.0625	4	32	110.20703	211416556
2	0.7	1.875	0.0625	4	35	123.13018	257311256
2	0.6	1.875	0.0625	4	38	136.65626	290459417
2	0.5	1.875	0.0625	4	42	150.84929	327679186
2	0.4	1.875	0.0625	4	47	165.7931	387078443
2	0.3	1.875	0.0625	4	53	181.63238	991633809
2	0.2	1.875	0.0625	4	61	198.61578	1066422610
2	1.8	80	2	4	30	22.178127	3062281
2	1.7	80	2	4	32	34.849563	3390081
2	1.6	80	2	4	33	48.102607	3531585
2	1.5	80	2	4	35	61.865839	4346794
2	1.4	80	2	4	36	76.05998	4718807
2	1.3	80	2	4	37	90.660531	4655466
2	1.2	80	2	4	38	105.65221	4936254
2	1.1	80	2	4	39	121.01283	5416218
2	1	80	2	4	40	136.73183	5883914
2	0.9	80	2	4	41	152.82296	6371180
2	0.8	80	2	4	42	169.28631	7430919
2	0.7	80	2	4	43	186.13264	8368352
2	0.6	80	2	4	44	203.38068	8206283
2	0.5	80	2	4	45	221.06436	9786187
2	0.4	80	2	4	46	239.21838	11053271
2	0.3	80	2	4	48	257.93991	13594647
2	0.2	80	2	4	50	277.32847	15757262
2	1.8	40	1	4	29	21.459123	3343894
2	1.7	40	1	4	31	33.876427	4058309
2	1.6	40	1	4	33	46.931648	6899911
2	1.5	40	1	4	34	60.526609	5190299
2	1.4	40	1	4	35	74.586223	5773799
2	1.3	40	1	4	36	89.082706	6136482
2	1.2	40	1	4	38	103.9935	10225262
2	1.1	40	1	4	39	119.30939	10110045
2	1	40	1	4	40	135.01314	8230913
2	0.9	40	1	4	41	151.10928	8760893
2	0.8	40	1	4	42	167.60081	10998526
2	0.7	40	1	4	43	184.50334	11431200
2	0.6	40	1	4	45	201.83135	18150156
2	0.5	40	1	4	46	219.64051	16131170
2	0.4	40	1	4	47	237.94937	17338483
2	0.3	40	1	4	49	256.8618	20907878
2	0.2	40	1	4	52	276.50249	30027570
2	1.8	20	0.5	4	27	20.498658	4000365
2	1.7	20	0.5	4	29	32.593163	5156202
2	1.6	20	0.5	4	31	45.383974	7110692
2	1.5	20	0.5	4	33	58.753236	11994098
2	1.4	20	0.5	4	34	72.637121	9692378
2	1.3	20	0.5	4	36	86.991653	15330163
2	1.2	20	0.5	4	37	101.80609	15558995
2	1.1	20	0.5	4	38	117.046	12696022
2	1	20	0.5	4	40	132.71179	20322831
2	0.9	20	0.5	4	41	148.81378	15663473
2	0.8	20	0.5	4	42	165.33523	17115379
2	0.7	20	0.5	4	44	182.31373	33724755
2	0.6	20	0.5	4	45	199.75621	27285071
2	0.5	20	0.5	4	47	217.7173	29341240
2	0.4	20	0.5	4	49	236.23613	44167157
2	0.3	20	0.5	4	52	255.4028	88721664
2	0.2	20	0.5	4	55	275.37444	135682118
2	1.8	10	0.25	4	24	19.258169	8012288
2	1.7	10	0.25	4	27	30.936134	12211765
2	1.6	10	0.25	4	29	43.37933	16009326
2	1.5	10	0.25	4	31	56.455969	20292278
2	1.4	10	0.25	4	33	70.09759	22688088
2	1.3	10	0.25	4	34	84.26304	25413987
2	1.2	10	0.25	4	36	98.923784	28840616
2	1.1	10	0.25	4	38	114.05841	36428528
2	1	10	0.25	4	39	129.66571	28970211
2	0.9	10	0.25	4	41	145.75029	50315182
2	0.8	10	0.25	4	43	162.31016	59443010
2	0.7	10	0.25	4	45	179.36677	64084145
2	0.6	10	0.25	4	47	196.94975	79802111
2	0.5	10	0.25	4	49	215.10018	75384404
2	0.4	10	0.25	4	52	233.87831	250029918
2	0.3	10	0.25	4	55	253.38949	261338353
2	0.2	10	0.25	4	59	273.80405	368001917
2	1.8	5	0.125	4	20	17.708414	12744172
2	1.7	5	0.125	4	23	28.826216	23577469
2	1.6	5	0.125	4	26	40.789906	35400888
2	1.5	5	0.125	4	28	53.473065	41431399
2	1.4	5	0.125	4	30	66.785868	59112728
2	1.3	5	0.125	4	32	80.678528	47631270
2	1.2	5	0.125	4	34	95.118253	57405368
2	1.1	5	0.125	4	36	110.09339	70066429
2	1	5	0.125	4	39	125.59816	106410907
2	0.9	5	0.125	4	41	141.6302	101470735
2	0.8	5	0.125	4	43	158.2006	126313763
2	0.7	5	0.125	4	46	175.33514	142485235
2	0.6	5	0.125	4	49	193.06356	158097052
2	0.5	5	0.125	4	52	211.44477	329293541
2	0.4	5	0.125	4	55	230.55184	399821844
2	0.3	5	0.125	4	60	250.51311	1034516472
2	0.2	5	0.125	4	66	271.52635	1332617298
2	1.8	2.5	0.0625	4	15	15.848533	17968560
2	1.7	2.5	0.0625	4	18	26.312904	32570694
2	1.6	2.5	0.0625	4	21	37.682327	65934919
2	1.5	2.5	0.0625	4	24	49.809035	91851584
2	1.4	2.5	0.0625	4	26	62.629941	97391905
2	1.3	2.5	0.0625	4	29	76.1012	147880925
2	1.2	2.5	0.0625	4	32	90.185353	217834973
2	1.1	2.5	0.0625	4	34	104.88472	174538103
2	1	2.5	0.0625	4	37	120.18044	194942824
2	0.9	2.5	0.0625	4	40	136.0814	235431596
2	0.8	2.5	0.0625	4	43	152.60404	302500499
2	0.7	2.5	0.0625	4	47	169.78192	382475676
2	0.6	2.5	0.0625	4	51	187.65259	458276787
2	0.5	2.5	0.0625	4	55	206.29234	474854683
2	0.4	2.5	0.0625	4	60	225.79284	608798129
2	0.3	2.5	0.0625	4	67	246.31729	1339428172
2	0.2	2.5	0.0625	4	76	268.13723	1292
2	1.8	100	2	4	39	28.95181	6713799
2	1.7	100	2	4	41	45.221843	7487448
2	1.6	100	2	4	43	62.156131	7827614
2	1.5	100	2	4	44	79.642806	8218409
2	1.4	100	2	4	45	97.629585	8354660
2	1.3	100	2	4	46	116.07056	8789386
2	1.2	100	2	4	48	134.95913	13109194
2	1.1	100	2	4	49	154.25228	13210439
2	1	100	2	4	50	173.96158	10930435
2	0.9	100	2	4	51	194.08109	11876288
2	0.8	100	2	4	52	214.61015	12411102
2	0.7	100	2	4	53	235.56989	12649506
2	0.6	100	2	4	54	256.9725	14769275
2	0.5	100	2	4	56	278.86814	19165911
2	0.4	100	2	4	57	301.2936	21725375
2	0.3	100	2	4	59	324.33273	23580869
2	0.2	100	2	4	61	348.11889	27084629
2	1.8	50	1	4	38	28.124345	6800261
2	1.7	50	1	4	40	44.108881	8125484
2	1.6	50	1	4	42	60.819107	13903602
2	1.5	50	1	4	43	78.120681	9938500
2	1.4	50	1	4	45	95.962102	15231197
2	1.3	50	1	4	46	114.29585	18905296
2	1.2	50	1	4	47	133.09252	15345106
2	1.1	50	1	4	49	152.3319	17831537
2	1	50	1	4	50	172.02211	19210289
2	0.9	50	1	4	51	192.14587	15844694
2	0.8	50	1	4	52	212.71226	19537422
2	0.7	50	1	4	54	233.73801	30942838
2	0.6	50	1	4	55	255.25328	24445716
2	0.5	50	1	4	57	277.27608	35017072
2	0.4	50	1	4	58	299.87643	32737962
2	0.3	50	1	4	61	323.13655	52681204
2	0.2	50	1	4	63	347.20711	39633337
2	1.8	25	0.5	4	36	27.020625	14319233
2	1.7	25	0.5	4	38	42.637967	14444926
2	1.6	25	0.5	4	40	59.042757	13549298
2	1.5	25	0.5	4	42	76.099997	20751055
2	1.4	25	0.5	4	44	93.738964	25631929
2	1.3	25	0.5	4	45	111.91975	17591970
2	1.2	25	0.5	4	47	130.60249	28542797
2	1.1	25	0.5	4	48	149.77507	24982401
