r	c	alpha	beta	Q_Tm	Pi_Tm	Time_Tm	CPUTime_Tm	Comp_Tm
2	1.8	12.5	0.25	31	26.02918332	199930	2387610	849499
2	1.7	12.5	0.25	34	41.27378445	239498	2859870	960426
2	1.6	12.5	0.25	36	57.32790532	269670	3218650	1052571
2	1.5	12.5	0.25	39	74.12889413	311649	3718720	1158896
2	1.4	12.5	0.25	41	91.5194766	339846	4056250	1238410
2	1.3	12.5	0.25	43	109.483176	370482	4423590	1308684
2	1.2	12.5	0.25	45	127.9892592	402312	4802380	1389124
2	1.1	12.5	0.25	47	147.0192918	427240	5098770	1465677
2	1	12.5	0.25	49	166.5668224	462346	5517850	1548274
2	0.9	12.5	0.25	50	186.6112967	490347	5850800	1597599
2	0.8	12.5	0.25	53	207.2304416	532750	6360790	1692592
2	0.7	12.5	0.25	55	228.3772574	582250	6951440	1773059
2	0.6	12.5	0.25	57	250.1039543	609477	7277720	1849822
2	0.5	12.5	0.25	60	272.4666231	669287	7989860	1968570
2	0.4	12.5	0.25	63	295.5279456	742950	8860520	2095113
2	0.3	12.5	0.25	66	319.4022276	821023	9804880	2226822
2	0.2	12.5	0.25	71	344.2877692	936068	11175770	2425821
2	1.8	6.25	0.125	25	24.40891962	396909	4738170	1383761
2	1.7	6.25	0.125	29	39.09402739	533913	6375250	1645416
2	1.6	6.25	0.125	32	54.66774886	634861	7578890	1856023
2	1.5	6.25	0.125	35	71.01765083	764895	9129590	2055753
2	1.4	6.25	0.125	37	88.01348953	855609	10216690	2209311
2	1.3	6.25	0.125	40	105.6892651	999637	11936150	2411277
2	1.2	6.25	0.125	42	123.9246618	1085969	12969700	2556031
2	1.1	6.25	0.125	45	142.7824241	1239105	14791880	2755162
2	1	6.25	0.125	47	162.1820684	1364918	16297030	2904989
2	0.9	6.25	0.125	50	182.1949286	1538334	18365640	3091184
2	0.8	6.25	0.125	53	202.7956984	1734163	20707570	3296747
2	0.7	6.25	0.125	56	224.0154851	1946994	23244100	3499994
2	0.6	6.25	0.125	59	245.8961122	2202085	26296060	3710752
2	0.5	6.25	0.125	62	268.4928198	2480971	29621170	3929728
2	0.4	6.25	0.125	67	291.9137514	2915587	34811140	4255256
2	0.3	6.25	0.125	72	316.2730809	3419045	40814300	4596235
2	0.2	6.25	0.125	78	341.8079305	4125793	49253330	4997526
2	1.8	3.125	0.0625	18	22.47352585	684388	8170870	1849056
2	1.7	3.125	0.0625	22	36.42050866	1028420	12282450	2329806
2	1.6	3.125	0.0625	25	51.3099635	1355195	16179080	2695612
2	1.5	3.125	0.0625	29	67.12876581	1847108	22058800	3141509
2	1.4	3.125	0.0625	32	83.62802165	2277612	27199820	3495390
2	1.3	3.125	0.0625	35	100.8253283	2752771	32869720	3845099
2	1.2	3.125	0.0625	38	118.6896251	3263711	38972530	4188659
2	1.1	3.125	0.0625	41	137.2042962	3867766	46173270	4527909
2	1	3.125	0.0625	45	156.4122882	4776834	57037770	4959124
2	0.9	3.125	0.0625	48	176.2335129	5504276	65725450	5305302
2	0.8	3.125	0.0625	52	196.7680199	6564011	78378380	5742057
2	0.7	3.125	0.0625	56	218.012268	7727225	92253700	6184504
2	0.6	3.125	0.0625	60	240.021806	8994795	107415930	6611167
2	0.5	3.125	0.0625	66	262.9057831	10972174	131017030	7245243
2	0.4	3.125	0.0625	72	286.7404782	13302743	158905510	7865533
2	0.3	3.125	0.0625	79	311.7150444	16106401	192403100	8595146
2	0.2	3.125	0.0625	89	338.1356837	20783454	248242610	9636404
