n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	7.648602	3.922736	3.922736	3.922736	0.008440955869	0.008345581586	0.008345581586	0.008345581586	41.23401	25	25	25	0.03571653922	0	0	0
1	7.646014	6.8642622	6.331689	4.7779412	0.008442152933	0.008648425648	0.008458760542	0.007337573733	41.23401	38.092081	35.906245	28.598846	0.03571653922	0.03245572033	0.02672278483	0.008905602053
2	7.648906	7.1984236	6.9686214	5.2611764	0.008434801738	0.008573568639	0.008500591954	0.00675228534	41.23401	39.449988	38.507257	30.310112	0.03571653922	0.0339080008	0.03205043557	0.01187093595
3	7.64672	7.3302892	7.1926564	5.5871572	0.008442659691	0.008530197527	0.008514987507	0.006905034712	41.23401	39.982066	39.421832	32.007676	0.03571653922	0.03449883298	0.03356100594	0.01440421523
4	7.64635	7.4030036	7.3066782	5.8467842	0.008440780791	0.008500301841	0.008500719643	0.006603744738	41.23401	40.266038	39.879891	32.849461	0.03571653922	0.03477178846	0.03421194342	0.01597924875
5	7.643888	7.4470204	7.3734378	6.0443976	0.008447955544	0.008501459685	0.008512089899	0.007188936763	41.23401	40.451532	40.154539	34.340648	0.03571653922	0.03494308661	0.03457426588	0.0183173308
6	7.64966	7.4820518	7.4229374	6.2285054	0.008439167633	0.008484096806	0.008489174689	0.007102589547	41.23401	40.576289	40.336517	35.015617	0.03571653922	0.03507384903	0.03480105466	0.01973073936
7	7.642094	7.496097	7.4458542	6.3831294	0.008446174388	0.008491109696	0.00850151755	0.007131029086	41.23401	40.666605	40.466991	35.675157	0.03571653922	0.03516922944	0.03495276877	0.02105087643
8	7.641762	7.5155104	7.4741606	6.5060054	0.008452436544	0.008488183535	0.008496001543	0.007250060956	41.23401	40.727202	40.560893	36.270837	0.03571653922	0.03523057241	0.03505425846	0.02234922694
9	7.64499	7.5313176	7.4951632	6.6194894	0.008442635543	0.008468409695	0.008478544928	0.007357235783	41.23401	40.778298	40.636016	36.834337	0.03571653922	0.03527436957	0.03513490429	0.02355277182
10	7.646534	7.5454848	7.5130696	6.7196696	0.008440094552	0.008460507332	0.008470369948	0.0074641852	41.23401	40.820834	40.696408	37.346458	0.03571653922	0.03532493185	0.03519751761	0.02468378567
11	7.646816	7.554791	7.5250414	6.8105592	0.008439461507	0.00845403008	0.008463046152	0.007265127599	41.23401	40.860285	40.744797	37.440386	0.03571653922	0.03536295292	0.03525008413	0.02498770759
12	7.6471	7.5603678	7.5348	6.875084	0.008443473676	0.008465526445	0.008472153695	0.007481163682	41.23401	40.890119	40.78598	37.88599	0.03571653922	0.03538874227	0.03529058707	0.02609134
13	7.649584	7.569673	7.54552	6.9450896	0.0084314653	0.008451407842	0.00846030696	0.007370141552	41.23401	40.912375	40.82156	38.016368	0.03571653922	0.03541722654	0.03532812916	0.02638129983
14	7.648648	7.5749574	7.5530504	6.9979462	0.008447734068	0.008460210645	0.008466223481	0.007562506424	41.23401	40.937007	40.851642	38.409201	0.03571653922	0.0354359247	0.03535797808	0.02739414226
15	7.64354	7.5755262	7.5555942	7.046781	0.008442444878	0.008460461985	0.008466712042	0.007511899863	41.23401	40.956061	40.878121	38.512715	0.03571653922	0.03545634786	0.03538607593	0.02767367747
16	7.647474	7.581923	7.5638032	7.0908834	0.008443629603	0.008460131334	0.008464056584	0.007696178215	41.23401	40.976165	40.898926	38.859307	0.03571653922	0.03546994094	0.03540879988	0.02859237959
17	7.647964	7.5848906	7.5675236	7.1330746	0.008436380363	0.008456654341	0.008462556032	0.007666109835	41.23401	40.988533	40.919218	38.952483	0.03571653922	0.03548681026	0.03542908226	0.02883561816
18	7.642172	7.5849936	7.5683352	7.1661816	0.008460075359	0.008474437089	0.008478409182	0.007832331897	41.23401	41.002638	40.936756	39.232418	0.03571653922	0.03549329538	0.03544530488	0.02965187338
19	7.650642	7.5941436	7.5791458	7.204404	0.008427659125	0.008445778893	0.008451690957	0.007779580318	41.23401	41.013938	40.952759	39.3008	0.03571653922	0.03551134642	0.03546131508	0.02985469821
20	7.643966	7.5917984	7.5773892	7.232143	0.008448280845	0.008462483547	0.008469252793	0.007923466418	41.23401	41.025142	40.966336	39.534895	0.03571653922	0.03551727526	0.03547471278	0.03056137688
21	7.642936	7.5944182	7.5805266	7.2620274	0.008435688787	0.008446555709	0.008451712575	0.007896422914	41.23401	41.036811	40.978543	39.593567	0.03571653922	0.03552680724	0.03548858337	0.03073202993
22	7.646394	7.5980424	7.5850466	7.2879422	0.00844210053	0.008456346254	0.008462045999	0.007893873667	41.23401	41.042552	40.990773	39.655841	0.03571653922	0.03553571761	0.03549860805	0.03092824954
23	7.643344	7.598979	7.5863532	7.31039	0.008449102372	0.008456883011	0.008461359109	0.008000062347	41.23401	41.051555	41.000766	39.83729	0.03571653922	0.03554883507	0.0355089059	0.03152717582
