n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	5.9686264	1.553782	1.553782	1.553782	0.009634466735	0.006206275277	0.006206275277	0.006206275277	32.405222	12	12	12	0.04480492247	0	0	0
1	5.9674444	5.276664	4.2265528	2.3697304	0.009633824518	0.009529299542	0.008663009356	0.006023535674	32.405222	29.58043	25.187034	15.838082	0.04480492247	0.04165862277	0.02959563761	0.007230943975
2	5.9659184	5.5756812	5.2142124	2.8893798	0.009637363581	0.009589887546	0.009345768545	0.005456503982	32.405222	30.828276	29.357482	17.621299	0.04480492247	0.04309609671	0.04009479877	0.01024559435
3	5.9717124	5.6971402	5.5076416	3.2467112	0.009629636541	0.009595447269	0.009502843575	0.005630221367	32.405222	31.307691	30.526998	19.392216	0.04480492247	0.04362516673	0.0423750926	0.01282288195
4	5.9668424	5.75902	5.6337196	3.5428116	0.009638459339	0.009603369261	0.009561631133	0.005968390731	32.405222	31.55001	31.053418	21.016778	0.04480492247	0.04390972103	0.04322343205	0.01528744005
5	5.9700844	5.7996696	5.7096212	3.801702	0.009626139086	0.009599780361	0.009582368434	0.006324041661	32.405222	31.707568	31.349446	22.46235	0.04480492247	0.04410241404	0.04365157928	0.01771229673
6	5.9692864	5.8247518	5.7547748	4.0333774	0.009636336021	0.009618012471	0.00960094112	0.00611048336	32.405222	31.837789	31.540084	23.139847	0.04480492247	0.04420513596	0.04390381577	0.01915795514
7	5.9671244	5.8431194	5.7849038	4.2177102	0.009632614729	0.009613033754	0.009610906978	0.006609630046	32.405222	31.903577	31.672109	24.393621	0.04480492247	0.04428817501	0.04406658798	0.02143766871
8	5.9679624	5.8564246	5.8094536	4.3849986	0.009639244056	0.009623290724	0.009619430883	0.006603590146	32.405222	31.964553	31.768798	24.998803	0.04480492247	0.04435486542	0.04417902903	0.02273279248
9	5.9684604	5.8724906	5.831003	4.5380994	0.009635195268	0.009618554067	0.009615230961	0.007010848172	32.405222	32.015673	31.842035	25.989607	0.04480492247	0.0444008139	0.04426342366	0.02487820627
