NVLearning-Simulation.byPeriod.l50.b1.c0.9.txtn	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
68	6.6542051	6.638321	6.6337539	6.6272774	0.01142022559	0.01141421788	0.01141230088	0.0113939046	9.459359	9.45243	9.441511	9.407106	0.01217457323	0.01215015201	0.01216224072	0.0121887339
69	6.6611011	6.6444597	6.6394639	6.6325918	0.01141437461	0.01140695755	0.01140518129	0.01138573371	9.459359	9.451713	9.441371	9.404962	0.01217457323	0.01214999254	0.01216205082	0.01219087897
70	6.6548711	6.6381557	6.6340463	6.6270173	0.01141725528	0.01141033316	0.01140981715	0.01138823577	9.459359	9.452093	9.441707	9.403837	0.01217457323	0.01215158703	0.01216300523	0.0121927804
71	6.6605611	6.6434134	6.6390099	6.6325815	0.0114260237	0.01141712766	0.01141448377	0.0113942029	9.459359	9.452546	9.441751	9.401915	0.01217457323	0.01215120942	0.0121634261	0.01219452399
72	6.6599271	6.6440381	6.6396223	6.6337114	0.01142354479	0.01141557438	0.01141307762	0.01139166081	9.459359	9.453109	9.441987	9.400326	0.01217457323	0.01215333204	0.012163306	0.01219722596
73	6.6553971	6.6390583	6.6353288	6.6283311	0.01142464998	0.01141770681	0.01141444769	0.01139206372	9.459359	9.452807	9.442092	9.398439	0.01217457323	0.01215186521	0.0121636187	0.01219912977
74	6.6500371	6.6341817	6.630617	6.6232891	0.01141856817	0.01141155058	0.01140934273	0.01138465783	9.459359	9.453653	9.44225	9.396139	0.01217457323	0.01215127642	0.01216394151	0.01220113266
75	6.6603991	6.6452508	6.6414325	6.6345557	0.01142004928	0.01141411044	0.01141248878	0.01138755258	9.459359	9.453092	9.442285	9.393693	0.01217457323	0.01215202435	0.01216456335	0.01220283747
76	6.6540431	6.6398761	6.6359181	6.6293817	0.01141584062	0.01140852361	0.01140673788	0.01138017187	9.459359	9.452729	9.442289	9.391633	0.01217457323	0.01215344398	0.01216466606	0.01220541076
77	6.6559151	6.6413025	6.6378181	6.6305451	0.011415695	0.01140857629	0.01140593402	0.0113782949	9.459359	9.452825	9.442309	9.389419	0.01217457323	0.01215375075	0.0121649178	0.0122068908
78	6.6562911	6.6407731	6.6373507	6.6302016	0.01141023814	0.01140359249	0.01140231164	0.01137489022	9.459359	9.452419	9.442743	9.387024	0.01217457323	0.01215436513	0.01216526104	0.01220872896
79	6.6497431	6.6355665	6.6317235	6.6249119	0.01141281136	0.0114056073	0.01140394403	0.01137272738	9.459359	9.453245	9.442995	9.384271	0.01217457323	0.01215429558	0.01216513548	0.01221015498
