n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	1.6966382	0.549466	0.549466	0.549466	0.003866948644	0.002230148609	0.002230148609	0.002230148609	6.910734	3	3	3	0.0104885459	0	0	0
1	1.6931062	1.3364435	0.9618464	0.7297599	0.003870765853	0.003714377095	0.003194123078	0.002452340615	6.910734	5.909245	4.745908	3.671313	0.0104885459	0.00883410613	0.004773804096	0.001909956196
2	1.6941262	1.4785689	1.2471317	0.8621017	0.003869405252	0.00376172568	0.003524142138	0.002727327953	6.910734	6.275443	5.623459	4.247999	0.0104885459	0.009566938085	0.007504632054	0.00300554471
3	1.6945622	1.5409366	1.3891533	0.9730583	0.003862264757	0.00381208673	0.003675149038	0.00296687915	6.910734	6.486142	6.036971	4.722701	0.0104885459	0.009812967605	0.008752803074	0.004004712385
4	1.6930442	1.5724365	1.4627243	1.0607185	0.003870683646	0.003848289006	0.003746514579	0.003163607032	6.910734	6.606635	6.250401	5.078335	0.0104885459	0.009961643804	0.009335132688	0.004962496684
5	1.6911562	1.593562	1.5078817	1.1381085	0.003868248593	0.003827243748	0.003781824572	0.003317566797	6.910734	6.63104	6.377879	5.383095	0.0104885459	0.01007244685	0.009651999793	0.005782031202
6	1.6959262	1.6113699	1.5415801	1.2044157	0.003859847086	0.00383489453	0.003796876911	0.002914064618	6.910734	6.679613	6.461827	5.233879	0.0104885459	0.0101302952	0.009839667348	0.0054749166
7	1.6935362	1.6208209	1.5616194	1.2542451	0.003865682152	0.00383656806	0.003812504384	0.003162688968	6.910734	6.702763	6.522698	5.545837	0.0104885459	0.01019233512	0.009971921932	0.006176435799
8	1.6931462	1.629609	1.5773259	1.297123	0.003866734415	0.003837134224	0.003825127726	0.003366343755	6.910734	6.72203	6.566273	5.79223	0.0104885459	0.01021465613	0.01006259271	0.006858145553
9	1.6919822	1.6347975	1.5897845	1.3370434	0.003873196849	0.003849606298	0.003833209466	0.003087952829	6.910734	6.748685	6.600175	5.643618	0.0104885459	0.01022996441	0.01013065731	0.00667739912
10	1.6927402	1.6414935	1.6003247	1.3692591	0.003872887967	0.003848926202	0.003838278404	0.003305212926	6.910734	6.759985	6.627469	5.880237	0.0104885459	0.0102682672	0.01018487605	0.007268638681
