n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	51.6474298	42.12667	42.12667	42.12667	0.05053849981	0.04628051992	0.04628051992	0.04628051992	43.103677	48	48	48	0.03646507179	0	0	0
1	51.6390258	49.9249854	49.766181	48.6345532	0.05048597249	0.04993064859	0.04943157123	0.04596595329	43.103677	44.081751	44.173325	44.460308	0.03646507179	0.03492080726	0.03496331186	0.03300389439
2	51.6568338	50.6812692	50.614385	50.1376786	0.05052180726	0.05018724737	0.05003411494	0.04826252664	43.103677	43.639728	43.681385	43.829319	0.03646507179	0.03572582204	0.0357051213	0.03505665166
3	51.6537258	50.9765114	50.9365742	50.701714	0.05052992246	0.05033186325	0.05024110549	0.04938269183	43.103677	43.541271	43.538753	43.62108	0.03646507179	0.03595035126	0.0359232189	0.03578262559
4	51.6393518	51.1178174	51.0908414	50.9613966	0.05048370254	0.05033001089	0.05029250647	0.04987076687	43.103677	43.413561	43.429651	43.484779	0.03646507179	0.03607691244	0.03605509141	0.03600922636
5	51.6396338	51.2164874	51.1949526	51.1079318	0.05052954602	0.05039869901	0.05036711139	0.05013633305	43.103677	43.356091	43.368439	43.413577	0.03646507179	0.0361354425	0.03612546932	0.0361400989
6	51.6541658	51.2954948	51.2781536	51.213675	0.05049018937	0.05037805229	0.0503589881	0.05020897165	43.103677	43.320352	43.326804	43.356155	0.03646507179	0.036190129	0.03617923464	0.03619266931
7	51.6454038	51.3360596	51.321634	51.2730974	0.05054883306	0.05045487823	0.05043807454	0.05033489989	43.103677	43.294654	43.29834	43.320441	0.03646507179	0.03621782681	0.03621498702	0.03621769303
8	51.6481258	51.3759366	51.3640882	51.3238618	0.05052664823	0.05044565482	0.05043313733	0.05035781851	43.103677	43.266869	43.274313	43.295367	0.03646507179	0.03625913421	0.03625050587	0.03624400972
9	51.6532958	51.409519	51.398918	51.3637354	0.05054834944	0.05046993185	0.05046110976	0.05039857772	43.103677	43.249685	43.25682	43.276031	0.03646507179	0.03627838072	0.03627432752	0.03626223604
10	51.6559658	51.4366598	51.4272718	51.3975958	0.05052515875	0.05046001973	0.0504530831	0.05040692397	43.103677	43.238727	43.242767	43.260897	0.03646507179	0.03630094816	0.0362957382	0.03628305956
11	51.6559638	51.4534298	51.4445356	51.4170098	0.05051560106	0.05044804263	0.05044209247	0.05040180885	43.103677	43.223867	43.231234	43.249147	0.03646507179	0.03632028991	0.03631209635	0.03630142461
12	51.6543098	51.4715826	51.4630956	51.439358	0.05054167063	0.05049003483	0.05048385986	0.05045122464	43.103677	43.213619	43.221024	43.23785	0.03646507179	0.03633054771	0.03632414724	0.03631474124
13	51.6389778	51.4701474	51.4631588	51.441782	0.05052189493	0.05047506787	0.05047054507	0.05044198876	43.103677	43.207831	43.212562	43.22784	0.03646507179	0.03634658219	0.03633761626	0.0363291802
14	51.6601158	51.5011846	51.494575	51.4752206	0.05052729759	0.05048300519	0.05048069467	0.05045976022	43.103677	43.199729	43.205105	43.218389	0.03646507179	0.03635426288	0.03634655596	0.03634073972
15	51.6598238	51.5139348	51.507353	51.4902362	0.05052087809	0.05047545432	0.05047344691	0.05045234989	43.103677	43.194392	43.199075	43.211373	0.03646507179	0.03635815489	0.03635564244	0.03635067068
16	51.6666358	51.5296236	51.523262	51.5058578	0.05052614593	0.0504940421	0.05048857905	0.05046755936	43.103677	43.191344	43.19343	43.204907	0.03646507179	0.03636954715	0.03636070169	0.03635714088
17	51.6524958	51.5176232	51.5130934	51.4970698	0.05056166507	0.05052066151	0.05051816493	0.05050015542	43.103677	43.188168	43.189171	43.199487	0.03646507179	0.03636733512	0.03636735553	0.03636243008
18	51.6389258	51.5183372	51.5143174	51.4994542	0.0505107552	0.05047090299	0.05047057745	0.05045585461	43.103677	43.178938	43.184021	43.193863	0.03646507179	0.03637759101	0.03637544508	0.03637033167
19	51.6461898	51.530671	51.5259606	51.5124504	0.05054496601	0.05051481177	0.05051169042	0.05049944127	43.103677	43.177295	43.179749	43.189356	0.03646507179	0.03637964231	0.03637948095	0.03637414242
20	51.6431158	51.533203	51.528844	51.516215	0.05053246187	0.05050207447	0.05050052272	0.05048704772	43.103677	43.172945	43.17582	43.185435	0.03646507179	0.03638704646	0.03638479025	0.0363800257
21	51.6467498	51.5416682	51.5372512	51.525625	0.0504961442	0.05046621263	0.05046611574	0.05045276186	43.103677	43.167793	43.172498	43.180905	0.03646507179	0.03639411903	0.03638782874	0.03638504645
22	51.6457918	51.5447024	51.539139	51.528166	0.05052314912	0.05049373071	0.05048939189	0.05047974283	43.103677	43.165146	43.169815	43.17741	0.03646507179	0.03639843348	0.03639149215	0.0363865998
