n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	1.0327724	0.256718	0.256718	0.256718	0.002676501476	0.00125376694	0.00125376694	0.00125376694	6.278802	2	2	2	0.01004815438	0	0	0
1	1.0325244	0.7859776	0.4629774	0.3389198	0.002673317356	0.002574261386	0.002101580766	0.001771227249	6.278802	5.175258	3.556597	2.838759	0.01004815438	0.008285024677	0.00346001676	0.001326045091
2	1.0329224	0.8819114	0.6556794	0.4020906	0.002676099377	0.002591670158	0.002399647574	0.002217096683	6.278802	5.557847	4.544757	3.558713	0.01004815438	0.009042082045	0.00615763773	0.002302555549
3	1.0317184	0.9227228	0.7740064	0.4790372	0.0026767443	0.002630715326	0.002511145922	0.001706830616	6.278802	5.777104	5.089802	3.342056	0.01004815438	0.009314149315	0.007746641879	0.002577133502
4	1.0341284	0.9496192	0.8400876	0.523275	0.002668657566	0.002648453364	0.002567204783	0.002163861494	6.278802	5.910646	5.385618	3.969285	0.01004815438	0.00950535083	0.008557093295	0.003482536001
5	1.0319364	0.9632064	0.8782854	0.5680446	0.002682756485	0.002657514547	0.002610558317	0.001811586921	6.278802	5.960602	5.563467	3.792263	0.01004815438	0.009624593104	0.008991844513	0.003547807697
6	1.0325764	0.9747262	0.9063708	0.6040244	0.002674410283	0.002643401226	0.002616456024	0.00223418974	6.278802	6.001181	5.679594	4.337452	0.01004815438	0.009697867299	0.009259080725	0.004425914902
7	1.0338484	0.9831726	0.9242778	0.638888	0.0026730329	0.002649531963	0.002629552821	0.00194072401	6.278802	6.043883	5.761119	4.20324	0.01004815438	0.009721699557	0.009432028728	0.004345371019
8	1.0334084	0.9882748	0.9392186	0.6657196	0.002672148026	0.002648005833	0.002633618055	0.002309130828	6.278802	6.062424	5.820413	4.653158	0.01004815438	0.0097646909	0.009552043312	0.005216743788
9	1.0332044	0.9927262	0.9477988	0.6964878	0.002671005708	0.002658881424	0.002643817587	0.002042889591	6.278802	6.096631	5.865894	4.506509	0.01004815438	0.009787993994	0.009643762047	0.005142981931
10	1.0331764	0.9962378	0.9557404	0.7148358	0.002673358428	0.002668657619	0.002652940593	0.00238113405	6.278802	6.120409	5.902442	4.884799	0.01004815438	0.009813103197	0.009711693987	0.005942146233
11	1.0331684	0.999165	0.9624242	0.7406594	0.002677040156	0.002665991102	0.002655941156	0.002164867365	6.278802	6.127295	5.930931	4.785867	0.01004815438	0.009837363241	0.009765452769	0.005807935035
12	1.0339724	1.0027918	0.9686582	0.755628	0.002670025502	0.002657709644	0.002652822895	0.002426205409	6.278802	6.135279	5.955311	5.07643	0.01004815438	0.009848728686	0.009809080969	0.006559385809
13	1.0321104	1.0031572	0.9727976	0.7795132	0.002676668937	0.002668847792	0.002656430529	0.00224400906	6.278802	6.151406	5.975098	4.995106	0.01004815438	0.0098665161	0.00984418173	0.006414335528
14	1.0331764	1.0060152	0.9764632	0.7925758	0.002673165289	0.00266687968	0.002656784111	0.002146103197	6.278802	6.164616	5.991996	4.984349	0.01004815438	0.009877750723	0.009874452245	0.006211516797
15	1.0331204	1.0083774	0.9809294	0.8082758	0.002675889584	0.002661874913	0.002657849059	0.002380907761	6.278802	6.160337	6.006457	5.236089	0.01004815438	0.009892981229	0.009899031724	0.006905389431
16	1.0312024	1.0078172	0.9821076	0.822159	0.002678825982	0.002671503575	0.002661697569	0.002256634494	6.278802	6.173986	6.019778	5.182605	0.01004815438	0.009904880587	0.009921109648	0.006785771478
17	1.0329064	1.0108312	0.9856728	0.8321726	0.002673921845	0.002667696014	0.002660119981	0.002461432007	6.278802	6.181506	6.030714	5.399903	0.01004815438	0.00991431145	0.00993856695	0.007386879556
18	1.0340884	1.013386	0.9899372	0.8470986	0.002669399919	0.002662414552	0.002652315634	0.002336494143	6.278802	6.18729	6.040136	5.334003	0.01004815438	0.009915491042	0.009955968683	0.007269387862
19	1.0337324	1.013174	0.9912028	0.8543284	0.002673254674	0.002671308601	0.0026602799	0.002264275475	6.278802	6.1936	6.049394	5.292382	0.01004815438	0.009920183814	0.009970748692	0.007178159615
20	1.0346364	1.01506	0.9936188	0.8651782	0.002669761359	0.002665509843	0.002658423715	0.002426509649	6.278802	6.19333	6.056834	5.465711	0.01004815438	0.009925701089	0.009982555704	0.007725863996
21	1.0335724	1.0151162	0.994216	0.8740524	0.002671703048	0.002671144922	0.002661503153	0.002345623508	6.278802	6.199211	6.0643	5.423232	0.01004815438	0.009937389365	0.00999455017	0.007641192632
22	1.0324104	1.0157114	0.995234	0.8801358	0.002676030364	0.002670214291	0.002663605251	0.00248367709	6.278802	6.204097	6.07095	5.557779	0.01004815438	0.009933566783	0.01000498778	0.008117238364
23	1.0337544	1.0182506	0.9985218	0.8907166	0.002668127039	0.002659405368	0.00265439587	0.002406263675	6.278802	6.204293	6.077409	5.533743	0.01004815438	0.009943348537	0.01001312322	0.007999106526
24	1.0336484	1.0181942	0.9995084	0.8964922	0.002671167879	0.002663475535	0.002657136482	0.002366879732	6.278802	6.204681	6.082402	5.526151	0.01004815438	0.009951266182	0.01002134527	0.007897548604
25	1.0337864	1.0189002	1.0000024	0.9032064	0.002673380236	0.002668267289	0.002664401081	0.002481745996	6.278802	6.208631	6.087552	5.638702	0.01004815438	0.009954373992	0.01002931154	0.008333552569
26	1.0322924	1.018168	1.000627	0.9085982	0.002676600246	0.002673383286	0.002665121757	0.002423563895	6.278802	6.21259	6.091915	5.603991	0.01004815438	0.009961834408	0.01003732072	0.008243031972
27	1.0325324	1.018987	1.0012854	0.9134742	0.002678579909	0.002669636525	0.002665821411	0.002535820913	6.278802	6.213875	6.096177	5.714271	0.01004815438	0.009958892563	0.0100426887	0.008608954841
28	1.0342604	1.020449	1.0035756	0.9213522	0.002671349111	0.002667508739	0.002661024733	0.002479971948	6.278802	6.215675	6.100008	5.700101	0.01004815438	0.009959398805	0.01004808957	0.008514199947
29	1.0339444	1.0204014	1.0046178	0.9242512	0.002670084997	0.002670444752	0.002660767274	0.002454569413	6.278802	6.223617	6.103409	5.686696	0.01004815438	0.009961448565	0.01005289099	0.008462157679
30	1.0333824	1.0204758	1.0045628	0.9294894	0.002672819133	0.002668841883	0.002659827186	0.002524060356	6.278802	6.220319	6.107334	5.761147	0.01004815438	0.009971158688	0.01005823185	0.00877979376
31	1.0351104	1.0223694	1.006102	0.9352204	0.002666088219	0.002663672433	0.002658884049	0.002487058708	6.278802	6.222567	6.11059	5.748672	0.01004815438	0.009971036247	0.01006318137	0.008697228285
32	1.0327944	1.0207968	1.0056924	0.9381964	0.002673734033	0.00267282008	0.002664960794	0.002553195647	6.278802	6.225964	6.113572	5.807652	0.01004815438	0.009970097542	0.01006734187	0.008986412819
33	1.0318664	1.020738	1.0056624	0.9409816	0.002678785055	0.002672222421	0.002668212978	0.002524458092	6.278802	6.22343	6.116252	5.795468	0.01004815438	0.009978331501	0.01007222277	0.008908558856
34	1.0341624	1.0230612	1.00793	0.9452558	0.00266869505	0.002664026137	0.002657271106	0.002499006317	6.278802	6.225796	6.11862	5.790259	0.01004815438	0.009982188235	0.01007544701	0.008873213369
35	1.0322984	1.0216592	1.006981	0.9470396	0.002677257808	0.002673554623	0.002667690125	0.00255737713	6.278802	6.229326	6.121305	5.834198	0.01004815438	0.009979163161	0.01007820422	0.009108350349
36	1.0322944	1.0215152	1.006403	0.950355	0.002677643093	0.002674736273	0.002668290425	0.002528145854	6.278802	6.230966	6.123625	5.828755	0.01004815438	0.00998420819	0.01008153209	0.009051240417
37	1.0338084	1.0230318	1.0094322	0.9547538	0.002669869473	0.00266506278	0.002658539285	0.002564866974	6.278802	6.229259	6.125821	5.867239	0.01004815438	0.009983549562	0.01008449858	0.009252863318
38	1.0333284	1.0237804	1.0098912	0.957869	0.002674426399	0.002668915373	0.002664123777	0.002549540389	6.278802	6.233982	6.127846	5.859965	0.01004815438	0.00998160869	0.01008828353	0.00919783441
39	1.0332124	1.0239136	1.01024	0.9595956	0.002669607545	0.002665845846	0.002659909078	0.002541094613	6.278802	6.234388	6.12999	5.861548	0.01004815438	0.009990409025	0.01009177242	0.009169476806
40	1.0345864	1.0255624	1.0117908	0.9639374	0.002668705738	0.002665570955	0.00265930958	0.002572814209	6.278802	6.236002	6.131594	5.903107	0.01004815438	0.009990696416	0.01009457267	0.009347485868
41	1.0328164	1.0231444	1.010122	0.9643036	0.002672323417	0.002671354714	0.002664344809	0.002558200072	6.278802	6.237512	6.13363	5.892998	0.01004815438	0.009990761206	0.01009772285	0.009302077217
42	1.0329984	1.0241648	1.0111872	0.9662316	0.002671888106	0.002668192508	0.002660406857	0.002549546624	6.278802	6.236924	6.135326	5.894178	0.01004815438	0.009992241668	0.0100999029	0.009287261021
43	1.0321184	1.0232962	1.0107578	0.966822	0.002679170993	0.00267474678	0.0026672187	0.0025876453	6.278802	6.237651	6.136859	5.92292	0.01004815438	0.00999425295	0.01010074189	0.009431183924
44	1.0333324	1.0250426	1.0121508	0.970436	0.002677145408	0.002672253194	0.002665570173	0.002568561153	6.278802	6.240303	6.138414	5.91835	0.01004815438	0.009995123625	0.01010373254	0.009402255097
45	1.0319104	1.0228072	1.0097908	0.970346	0.002678057297	0.00267885637	0.00267258321	0.002598641531	6.278802	6.243076	6.139434	5.93926	0.01004815438	0.009993917582	0.01010477211	0.009520017253
46	1.0341784	1.0255342	1.0128578	0.9741256	0.002667746323	0.00266691914	0.002660950746	0.002579804631	6.278802	6.242131	6.141279	5.937738	0.01004815438	0.009998514556	0.0101072272	0.009488253088
47	1.0314564	1.0234286	1.0106584	0.9735454	0.002681533331	0.002675284152	0.002669908989	0.00258515296	6.278802	6.241983	6.142722	5.940847	0.01004815438	0.009998549837	0.01010977101	0.009483540426
48	1.0329064	1.0252808	1.0126568	0.9775284	0.002672203583	0.002669163619	0.002662659048	0.002590721961	6.278802	6.244804	6.143844	5.957202	0.01004815438	0.009997852033	0.01011202913	0.009578744035
49	1.0322504	1.024561	1.0126938	0.9782902	0.002678458192	0.002674471373	0.002668128268	0.002590679564	6.278802	6.243285	6.144939	5.960381	0.01004815438	0.0100021236	0.01011282515	0.009560224058
50	1.0336804	1.0259498	1.0135028	0.9804014	0.002671217528	0.002670617047	0.002663123139	0.002581493306	6.278802	6.244729	6.146134	5.962407	0.01004815438	0.01000388085	0.0101139767	0.009553407448
51	1.0321084	1.0240996	1.0127936	0.9791604	0.002676642047	0.002678190673	0.002669754973	0.002609348908	6.278802	6.246058	6.147468	5.975242	0.01004815438	0.01000130395	0.01011613967	0.009634643753
52	1.0338504	1.0270008	1.0149868	0.9826434	0.002670506212	0.002666689255	0.002661205603	0.002593319885	6.278802	6.244054	6.148414	5.975957	0.01004815438	0.01000249926	0.01011752454	0.009626306307
53	1.0323384	1.0251358	1.0129314	0.9811196	0.002680405149	0.002676741522	0.002671611313	0.002618823263	6.278802	6.245319	6.149367	5.988128	0.01004815438	0.01000575405	0.01011802938	0.009699744262
54	1.0328864	1.0259956	1.0142844	0.9846084	0.002673481977	0.002670968975	0.002663891747	0.002600905126	6.278802	6.248578	6.150752	5.988152	0.01004815438	0.01000256673	0.01012026114	0.009683439465
55	1.0328144	1.0260746	1.0141362	0.9847698	0.002676257208	0.002673458462	0.002668663378	0.002602205486	6.278802	6.247373	6.151791	5.988589	0.01004815438	0.01000428615	0.01012141707	0.009679027573
56	1.0332004	1.02628	1.0148574	0.9861478	0.002677551746	0.002676728727	0.00266978946	0.002615945805	6.278802	6.24794	6.152757	5.997279	0.01004815438	0.01000833574	0.0101221188	0.009736213989
57	1.0329804	1.0263856	1.014462	0.9866646	0.00267649568	0.002673646267	0.002667058289	0.002610292871	6.278802	6.250278	6.15357	5.998143	0.01004815438	0.01000610753	0.01012387584	0.009734506138
58	1.0346244	1.0274498	1.0163044	0.9888328	0.002668550102	0.002667167194	0.002659003476	0.002600364918	6.278802	6.249129	6.154192	5.999464	0.01004815438	0.01000819487	0.01012434988	0.009726243289
59	1.0333404	1.0263862	1.015131	0.9885154	0.002669727471	0.002669117999	0.002663509633	0.002612870818	6.278802	6.248741	6.155635	6.008777	0.01004815438	0.01001046375	0.01012571691	0.009772525569
60	1.0340124	1.0268064	1.0157324	0.9897742	0.00267172193	0.002673376312	0.002667871266	0.002612409387	6.278802	6.249522	6.156432	6.010031	0.01004815438	0.01000702427	0.01012671623	0.009768797149
