n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	47.3028839	45.2738	45.2738	45.2738	0.02291188008	0.0230196188	0.0230196188	0.0230196188	42.288323	43	43	43	0.01277912956	0	0	0
1	47.2912379	46.1942745	46.1640551	46.0590434	0.02292284965	0.02299916321	0.02299729031	0.02305359859	42.288323	42.689525	42.728907	42.908018	0.01277912956	0.009065852755	0.009003366338	0.008849861597
2	47.2810359	46.5267702	46.5006195	46.4108935	0.02293006212	0.02297817389	0.02295692431	0.02277270347	42.288323	42.550434	42.562895	42.522955	0.01277912956	0.01048998172	0.01041862193	0.009906823949
3	47.2997599	46.727212	46.7062654	46.6307644	0.02290729052	0.02295384852	0.02292980768	0.0228296408	42.288323	42.50768	42.508038	42.519748	0.01277912956	0.01110756074	0.01104169112	0.01072907115
4	47.3005639	46.8349147	46.8170423	46.7568718	0.02292861099	0.02296558817	0.02295757733	0.02289591977	42.288323	42.460299	42.470731	42.490526	0.01277912956	0.0114489004	0.01140716147	0.01123266425
5	47.2787159	46.8888829	46.8739501	46.8223799	0.02293779241	0.02297297756	0.02296097159	0.02290639629	42.288323	42.442193	42.442877	42.453983	0.01277912956	0.01168223663	0.01164699689	0.01152817135
6	47.2981339	46.9593003	46.9448355	46.9002316	0.02295594452	0.02298663242	0.02297302531	0.02291708676	42.288323	42.419451	42.420595	42.418592	0.01277912956	0.01184038131	0.01181433653	0.01169088893
7	47.2819579	46.9877505	46.9760958	46.9365559	0.02294437848	0.02296686639	0.02296506178	0.02292256971	42.288323	42.396985	42.405026	42.411663	0.01277912956	0.01197233159	0.01194308419	0.01180946907
8	47.3060299	47.0413468	47.0313337	46.9958452	0.02293281276	0.02295091222	0.02294604539	0.02292149263	42.288323	42.388916	42.391869	42.406804	0.01277912956	0.01205601818	0.01203763762	0.01192717213
9	47.2958059	47.0602708	47.0508258	47.0200321	0.02294015259	0.02295918759	0.02295900264	0.02294504163	42.288323	42.374976	42.382786	42.401217	0.01277912956	0.01214586577	0.01211682004	0.0120291617
10	47.2928279	47.0718914	47.0628001	47.0352464	0.02294589787	0.02295310687	0.02295980545	0.02295105877	42.288323	42.361718	42.374657	42.391748	0.01277912956	0.01219671524	0.01217906587	0.01211117444
