n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	34.589316	32.402714	32.402714	32.402714	0.01666499738	0.01736858141	0.01736858141	0.01736858141	48.061255	47	47	47	0.01362585109	0	0	0
1	34.591882	33.3929836	33.328648	33.0828536	0.01669536528	0.01706951185	0.01712240624	0.0168653958	48.061255	47.487012	47.521375	47.280117	0.01362585109	0.009421924972	0.009127772566	0.007405024156
2	34.588906	33.7722384	33.715814	33.4592964	0.01667409919	0.01693154341	0.01692289493	0.01693222479	48.061255	47.666673	47.64927	47.618478	0.01362585109	0.01114720228	0.0108429721	0.009815706231
3	34.582532	33.9574232	33.9090976	33.6851556	0.01667582193	0.01689495324	0.01687292189	0.01678270093	48.061255	47.776109	47.744847	47.656442	0.01362585109	0.01178257223	0.01159019661	0.01060749993
4	34.601682	34.0937408	34.0554224	33.8622288	0.01665663749	0.01682608084	0.01682078869	0.0167303046	48.061255	47.822986	47.803218	47.710466	0.01362585109	0.01216478173	0.01201409086	0.01122730273
5	34.585702	34.1609244	34.124946	33.956522	0.01668583484	0.01682852089	0.01682547289	0.01677048637	48.061255	47.862228	47.847105	47.7851	0.01362585109	0.01241707708	0.01229411206	0.01167027114
6	34.592844	34.2244716	34.1949368	34.0462176	0.01668594586	0.01680193267	0.01679733169	0.0166815348	48.061255	47.892542	47.876421	47.774442	0.01362585109	0.01259684026	0.01249662737	0.01176387063
7	34.578128	34.2575688	34.229776	34.0989036	0.01667608284	0.01678217575	0.01677940927	0.01671811955	48.061255	47.912816	47.899035	47.832777	0.01362585109	0.01273663064	0.01264214778	0.01212242519
8	34.600904	34.3118356	34.2871772	34.1677412	0.01666547166	0.01676628851	0.01676358689	0.01669498537	48.061255	47.929192	47.915549	47.844589	0.01362585109	0.01283795169	0.01275284711	0.01225907999
9	34.589444	34.3279188	34.306576	34.197954	0.0166833397	0.01677301898	0.01676942674	0.0167282141	48.061255	47.945106	47.93086	47.879245	0.01362585109	0.0129083124	0.01284206966	0.01246108466
10	34.594842	34.3597784	34.33894	34.241564	0.01666604754	0.01673692463	0.01674169453	0.01670528882	48.061255	47.946868	47.942665	47.89349	0.01362585109	0.01297973753	0.01291532078	0.01256176014
11	34.596034	34.377638	34.3591324	34.270986	0.01666230682	0.01673371538	0.01673640059	0.01670432304	48.061255	47.962405	47.952623	47.90685	0.01362585109	0.01303769398	0.01297651098	0.01265031325
12	34.602842	34.4008884	34.3844748	34.3035296	0.0166496038	0.01671522799	0.01671634716	0.01669586122	48.061255	47.967948	47.960916	47.922997	0.01362585109	0.01307858304	0.0130282544	0.01275377224
13	34.58316	34.3929368	34.3771124	34.3023388	0.01668085548	0.01674452947	0.0167460296	0.01672611738	48.061255	47.975841	47.968823	47.932331	0.01362585109	0.0131160737	0.01307020081	0.01280969492
14	34.59708	34.42464	34.4101892	34.3409816	0.01665718961	0.01671201543	0.01671356827	0.0166928943	48.061255	47.98248	47.974049	47.939212	0.01362585109	0.01315384053	0.01310770369	0.01286636292
15	34.586886	34.4221008	34.408018	34.3421024	0.01668988555	0.01674782726	0.01674505099	0.01672968183	48.061255	47.990441	47.97963	47.946438	0.01362585109	0.01317879701	0.01314160137	0.01291606905
16	34.583008	34.4271852	34.4128944	34.3518364	0.01669235157	0.0167461216	0.01674282013	0.0167297995	48.061255	47.996369	47.984118	47.953863	0.01362585109	0.01320703518	0.01317167817	0.01296351351
17	34.578182	34.4339876	34.4221208	34.3633892	0.01669197007	0.01674079078	0.01674486625	0.0167304638	48.061255	47.991902	47.988121	47.958404	0.01362585109	0.01323462334	0.01319740486	0.01300330146
18	34.59792	34.4610544	34.4491928	34.39497	0.01665844946	0.0167028639	0.01670226389	0.01669218011	48.061255	47.997523	47.991131	47.96329	0.01362585109	0.0132611324	0.01322090448	0.0130402918
19	34.592196	34.460894	34.449962	34.396658	0.01668432163	0.01672348587	0.01672634852	0.01671231437	48.061255	47.999715	47.9955	47.968415	0.01362585109	0.01327484151	0.01324079351	0.01307034782
20	34.593582	34.4664948	34.4560328	34.4076648	0.01667036385	0.01671406293	0.01671429077	0.01670560517	48.061255	48.005011	47.998661	47.972721	0.01362585109	0.01329186076	0.01326090099	0.01310031795
21	34.59222	34.4737728	34.4633408	34.41491	0.01668046865	0.01671664673	0.0167181321	0.01671072307	48.061255	48.007721	48.001331	47.976355	0.01362585109	0.0133070905	0.01327686511	0.01312545413
22	34.586902	34.4725768	34.4625912	34.418818	0.01666169585	0.01669422388	0.01669754668	0.0166911988	48.061255	48.008526	48.003969	47.981115	0.01362585109	0.01332634421	0.01329506666	0.01314921235
23	34.606088	34.4956068	34.4857876	34.4414128	0.01666293128	0.01670050057	0.01670011721	0.01669116752	48.061255	48.011311	48.006002	47.983576	0.01362585109	0.01333261116	0.01330769595	0.0131696852
24	34.599828	34.4953816	34.4850788	34.4455328	0.01666597204	0.01669805748	0.0167040079	0.01669352202	48.061255	48.011247	48.009076	47.986186	0.01362585109	0.0133489853	0.01332099834	0.01318935693
25	34.600582	34.4988964	34.4897932	34.4496572	0.01667996337	0.01671198978	0.01671451864	0.01670661046	48.061255	48.013403	48.010569	47.990324	0.01362585109	0.01336046502	0.01333182571	0.01320784212
26	34.584248	34.4849508	34.4774236	34.4404216	0.01669000863	0.01672815232	0.01672203642	0.01671981713	48.061255	48.022611	48.012367	47.993442	0.01362585109	0.01336794263	0.01334432983	0.01322589302
27	34.59691	34.503804	34.4955516	34.4590556	0.01667803679	0.01671744515	0.01671337717	0.01670782067	48.061255	48.02285	48.014192	47.995827	0.01362585109	0.01338143267	0.01335492036	0.01324059503
