n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	35.2023657	21.957542	21.957542	21.957542	0.05508769008	0.04102794471	0.04102794471	0.04102794471	31.860069	33	33	33	0.04434215599	0	0	0
1	35.1980157	33.6080885	33.1970948	30.5629837	0.05507479092	0.05415937914	0.05277440131	0.04394568717	31.860069	32.439785	32.648276	32.249649	0.04434215599	0.04343851066	0.04338874468	0.03634951196
2	35.1944857	34.321545	34.1962329	33.0487769	0.05507188714	0.05454553407	0.05424162252	0.04918312165	31.860069	32.11913	32.201853	32.125733	0.04434215599	0.04388836654	0.04396274755	0.04150444753
3	35.2065857	34.5978558	34.530348	34.0117002	0.05504603993	0.05468107296	0.05453751504	0.05201544599	31.860069	32.057166	32.08372	32.110274	0.04434215599	0.04411214556	0.044099288	0.0432329185
4	35.2056797	34.7407279	34.6948105	34.4328269	0.05508533049	0.05481548466	0.05473455479	0.05347261747	31.860069	32.018523	32.034785	32.090253	0.04434215599	0.0441633756	0.04415289849	0.04395833775
5	35.1944157	34.8145316	34.780318	34.6268998	0.05506762244	0.05484777926	0.05479993418	0.05412165455	31.860069	31.982052	32.0018	32.039506	0.04434215599	0.04421337766	0.04419368367	0.04413279473
6	35.1964797	34.8763295	34.8488724	34.7485259	0.05507671102	0.0548784118	0.05484342882	0.05446160635	31.860069	31.969615	31.980048	32.010563	0.04434215599	0.04422352351	0.04421689813	0.04420913097
7	35.1870817	34.9128734	34.8910931	34.8175943	0.055058173	0.05489948382	0.05487395735	0.05463783003	31.860069	31.957398	31.962267	31.986671	0.04434215599	0.04423752889	0.04423692248	0.04423078862
8	35.2008337	34.9583546	34.939441	34.8829727	0.05503590261	0.05489677469	0.05487805333	0.05472892437	31.860069	31.942342	31.94881	31.968839	0.04434215599	0.04425839078	0.04424847083	0.04423589013
9	35.1991177	34.986343	34.9703467	34.9232572	0.05511056714	0.05498101825	0.05496678549	0.05484259266	31.860069	31.93413	31.939539	31.957224	0.04434215599	0.04426355563	0.04425613089	0.04424508679
