n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	52.039985	49.088664	49.088664	49.088664	0.04258912041	0.0408193187	0.0408193187	0.0408193187	36.999645	46	46	46	0.02392485253	0	0	0
1	52.043463	51.2789558	51.2648936	51.1791534	0.04257508942	0.0423256735	0.04227012509	0.04192280388	36.999645	39.502831	39.548322	39.797693	0.02392485253	0.02214821089	0.02228917708	0.0228566735
2	52.041727	51.591617	51.5848204	51.5565744	0.04261093014	0.0424771407	0.04245142681	0.04233962739	36.999645	38.539395	38.545868	38.621798	0.02392485253	0.02309793373	0.02310888685	0.02328636914
3	52.055325	51.738017	51.7334148	51.718273	0.04261414897	0.04251191861	0.04250093707	0.04244778456	36.999645	38.059805	38.075696	38.122305	0.02392485253	0.02331377462	0.02334122352	0.02343082764
4	52.046555	51.8023192	51.7993188	51.7896114	0.04258579185	0.04251541263	0.04250845825	0.04248262437	36.999645	37.826694	37.834796	37.863983	0.02392485253	0.02349475641	0.02350230315	0.02355992911
5	52.051723	51.848528	51.84613	51.839075	0.04258858653	0.0425208168	0.04251729518	0.04249894305	36.999645	37.66648	37.67656	37.696885	0.02392485253	0.02358572409	0.02358837219	0.0236202689
6	52.033163	51.861888	51.8599356	51.8548116	0.04258465501	0.04253171957	0.04252979231	0.04251961452	36.999645	37.57076	37.577802	37.597872	0.02392485253	0.0236288031	0.02363894728	0.02366253093
7	52.042017	51.894441	51.8930942	51.8889252	0.04260363694	0.04255880738	0.0425571057	0.04254824602	36.999645	37.491405	37.497769	37.514104	0.02392485253	0.02366987538	0.02367574233	0.02369772246
8	52.045947	51.9163452	51.9148542	51.9108716	0.04257499697	0.04254035132	0.0425379039	0.04252955722	36.999645	37.437814	37.438899	37.451032	0.02392485253	0.02372138804	0.02371649851	0.02373604822
9	52.055529	51.9382128	51.9365326	51.933791	0.04256367125	0.0425265203	0.04252318117	0.04251868457	36.999645	37.390946	37.392987	37.399735	0.02392485253	0.02373845048	0.02373602541	0.02375087756
10	52.045165	51.9386414	51.937376	51.9345756	0.04258023992	0.04254904799	0.04254686383	0.04254241837	36.999645	37.359113	37.35843	37.365872	0.02392485253	0.02374251755	0.02374785119	0.02375454719
11	52.050125	51.9518646	51.9509476	51.9483186	0.04261913456	0.04258908911	0.04258591393	0.04258220775	36.999645	37.330317	37.327152	37.333227	0.02392485253	0.02376485643	0.02376430519	0.02376929471
12	52.035551	51.9474884	51.9464828	51.9439184	0.04259143873	0.04256996923	0.04256788774	0.04256334156	36.999645	37.300298	37.300516	37.306738	0.02392485253	0.02378872472	0.02378221658	0.0237849043
13	52.048213	51.9676748	51.966626	51.9644956	0.04259594941	0.04257318556	0.04257210557	0.04256985601	36.999645	37.274126	37.27704	37.284152	0.02392485253	0.02379397977	0.02379204354	0.02379590556
14	52.031591	51.9559482	51.9549636	51.953407	0.04259280531	0.04256765441	0.04256632517	0.042564947	36.999645	37.255769	37.258172	37.265555	0.02392485253	0.02379821174	0.02380222295	0.02380387223
15	52.051335	51.978289	51.9778258	51.976341	0.04261043696	0.04258721382	0.04258665446	0.04258423535	36.999645	37.242245	37.242301	37.247415	0.02392485253	0.02380263331	0.02380845012	0.02381272302
