n	avgPP	avgPF	avgPT	avgPE	sdPP	sdPF	sdPT	sdPE	avgIP	avgIF	avgIT	avgIE	sdIP	sdIF	sdIT	sdIE
0	34.3779066	33.951866	33.951866	33.951866	0.01917081985	0.01894169673	0.01894169673	0.01894169673	25.810837	27	27	27	0.007105043931	0	0	0
1	34.3748926	34.081272	34.0799394	34.0770428	0.01916749361	0.01909429434	0.01910339272	0.01912141606	25.810837	26.76421	26.787403	26.832876	0.007105043931	0.004211567847	0.004251203502	0.00436968474
2	34.3649546	34.1419002	34.1402734	34.1368904	0.01917903431	0.01914139168	0.01913822006	0.01913704059	25.810837	26.559089	26.562953	26.580268	0.007105043931	0.005089421172	0.005086662469	0.005113626799
3	34.3730646	34.191987	34.1907468	34.1881886	0.0191653452	0.01911487029	0.0191172945	0.01911581589	25.810837	26.386435	26.397046	26.409077	0.007105043931	0.005566512856	0.005565974353	0.005552852971
4	34.3569246	34.2065484	34.2052484	34.2026878	0.01919323352	0.01916411675	0.01916133073	0.01916313658	25.810837	26.311878	26.313398	26.331431	0.007105043931	0.005883080027	0.005877868011	0.005887809829
5	34.3755426	34.2456398	34.244402	34.241937	0.01916162323	0.01913541259	0.0191293175	0.01912163825	25.810837	26.240221	26.23573	26.235155	0.007105043931	0.006086378035	0.006070602216	0.006060143992
6	34.3699186	34.2553286	34.2545104	34.25246	0.01916925315	0.01912171745	0.01913522327	0.01913210194	25.810837	26.142407	26.171388	26.17541	0.007105043931	0.006166901075	0.006197304951	0.006197622069
7	34.3857166	34.2831656	34.2822208	34.280605	0.01916982735	0.01914239857	0.01914306073	0.01913760806	25.810837	26.139642	26.145296	26.143685	0.007105043931	0.006298873575	0.006304745566	0.006291863137
8	34.3581506	34.2672424	34.2660422	34.2647266	0.01915213457	0.01913156827	0.01913169954	0.01913090117	25.810837	26.106148	26.112509	26.118127	0.007105043931	0.006392206761	0.00639373972	0.006380819543
9	34.3680566	34.2829104	34.281601	34.280388	0.01918858833	0.01916734958	0.01916522686	0.01916504214	25.810837	26.083768	26.086675	26.09176	0.007105043931	0.006451810856	0.006455868486	0.006447035875
10	34.3664426	34.2898602	34.288827	34.2877242	0.0191649109	0.01914859684	0.01914669007	0.01914662131	25.810837	26.060749	26.062355	26.067719	0.007105043931	0.006524590547	0.00651666308	0.006506581909
11	34.3756346	34.305106	34.3045732	34.3032832	0.0191809532	0.01916071593	0.01916454273	0.01916412504	25.810837	26.03175	26.041564	26.046794	0.007105043931	0.006561536454	0.006562423531	0.006558386549
